condition,subject,trial,su,rotation,rt,mt,ep
interleaved,9340,1,26.78,0.0,363,16824,-1.95
interleaved,9340,2,26.78,0.0,541,71,-1.52
interleaved,9340,3,0.0,0.0,483,83,-1.54
interleaved,9340,4,0.0,0.0,392,79,-1.57
interleaved,9340,5,0.0,0.0,346,87,-1.58
interleaved,9340,6,0.0,0.0,362,100,-1.63
interleaved,9340,7,0.0,0.0,454,79,-1.56
interleaved,9340,8,26.78,0.0,425,59,-1.56
interleaved,9340,9,0.0,0.0,412,92,-1.6
interleaved,9340,10,0.0,0.0,566,71,-1.52
interleaved,9340,11,0.0,0.0,371,79,-1.56
interleaved,9340,12,26.78,0.0,391,92,-1.57
interleaved,9340,13,26.78,0.0,470,84,-1.61
interleaved,9340,14,26.78,0.0,362,92,-1.63
interleaved,9340,15,26.78,0.0,412,92,-1.58
