date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-18,mis_rep,20,0,-90.0,1.0,0.0,2003,526,3.0
2025-08-18,mis_rep,20,1,-30.0,1.0,0.0,2009,2610,-2.1
2025-08-18,mis_rep,20,2,150.0,1.0,0.0,2004,938,1.02
2025-08-18,mis_rep,20,3,0.0,1.0,0.0,2003,750,-1.59
2025-08-18,mis_rep,20,4,60.0,1.0,0.0,2003,1872,-0.52
2025-08-18,mis_rep,20,5,90.0,1.0,0.0,2003,741,-0.02
2025-08-18,mis_rep,20,6,90.0,1.0,0.0,2005,701,-0.19
2025-08-18,mis_rep,20,7,-150.0,1.0,0.0,2009,476,2.09
2025-08-18,mis_rep,20,8,-60.0,1.0,0.0,2002,1239,-2.67
2025-08-18,mis_rep,20,9,-30.0,1.0,0.0,2009,523,-2.12
2025-08-18,mis_rep,20,10,90.0,1.0,0.0,2010,438,-0.32
2025-08-18,mis_rep,20,11,120.0,1.0,0.0,2004,420,0.32
2025-08-18,mis_rep,20,12,30.0,1.0,0.0,2002,450,-0.82
2025-08-18,mis_rep,20,13,150.0,1.0,0.0,2009,506,0.7
2025-08-18,mis_rep,20,14,-60.0,1.0,0.0,2006,567,-2.69
2025-08-18,mis_rep,20,15,150.0,1.0,0.0,2002,488,0.96
2025-08-18,mis_rep,20,16,0.0,1.0,0.0,2009,503,-1.5
2025-08-18,mis_rep,20,17,-60.0,1.0,0.0,2010,470,-2.53
2025-08-18,mis_rep,20,18,-90.0,1.0,0.0,2006,432,2.72
2025-08-18,mis_rep,20,19,60.0,1.0,0.0,2002,393,-0.62
2025-08-18,mis_rep,20,20,-150.0,1.0,0.0,2002,465,2.2
2025-08-18,mis_rep,20,21,-120.0,1.0,0.0,2005,410,2.36
2025-08-18,mis_rep,20,22,-120.0,1.0,0.0,2004,422,2.47
2025-08-18,mis_rep,20,23,30.0,1.0,0.0,2005,423,-0.91
2025-08-18,mis_rep,20,24,-90.0,1.0,0.0,2004,428,2.8
2025-08-18,mis_rep,20,25,120.0,1.0,0.0,2010,560,0.49
2025-08-18,mis_rep,20,26,-30.0,1.0,0.0,2007,559,-2.13
2025-08-18,mis_rep,20,27,60.0,1.0,0.0,2002,390,-0.63
2025-08-18,mis_rep,20,28,120.0,1.0,0.0,2006,469,0.45
2025-08-18,mis_rep,20,29,-150.0,1.0,0.0,2004,415,2.18
2025-08-18,mis_rep,20,30,-120.0,1.0,0.0,2001,450,2.46
2025-08-18,mis_rep,20,31,30.0,1.0,0.0,2011,462,-0.95
2025-08-18,mis_rep,20,32,0.0,1.0,0.0,2007,471,-1.37
2025-08-18,mis_rep,20,33,90.0,1.0,0.0,2005,478,-0.34
2025-08-18,mis_rep,20,34,-150.0,1.0,0.0,2012,368,2.17
2025-08-18,mis_rep,20,35,-120.0,1.0,0.0,2002,630,2.47
2025-08-18,mis_rep,20,36,-90.0,1.0,0.0,2006,599,3.04
2025-08-18,mis_rep,20,37,-150.0,1.0,0.0,2004,398,2.04
2025-08-18,mis_rep,20,38,-120.0,1.0,0.0,2001,451,2.43
2025-08-18,mis_rep,20,39,-30.0,1.0,0.0,2006,520,-2.1
2025-08-18,mis_rep,20,40,-150.0,1.0,0.0,2001,409,2.21
2025-08-18,mis_rep,20,41,150.0,1.0,0.0,2002,498,0.93
2025-08-18,mis_rep,20,42,-90.0,1.0,0.0,2002,578,3.03
2025-08-18,mis_rep,20,43,-60.0,1.0,0.0,2012,532,-2.43
2025-08-18,mis_rep,20,44,150.0,1.0,0.0,2004,523,0.79
2025-08-18,mis_rep,20,45,150.0,1.0,0.0,2003,587,0.87
