date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-14,mis_rep,15.1,0,60.0,1.0,0.0,2005,1234,-0.5
2025-08-14,mis_rep,15.1,1,-90.0,1.0,0.0,2009,850,3.06
2025-08-14,mis_rep,15.1,2,-30.0,1.0,0.0,2001,689,-2.14
2025-08-14,mis_rep,15.1,3,30.0,1.0,0.0,2002,519,-0.63
2025-08-14,mis_rep,15.1,4,-60.0,1.0,0.0,2010,629,-2.62
2025-08-14,mis_rep,15.1,5,120.0,1.0,0.0,2001,645,0.4
2025-08-14,mis_rep,15.1,6,150.0,1.0,0.0,2007,500,0.99
2025-08-14,mis_rep,15.1,7,-120.0,1.0,0.0,2004,438,2.75
2025-08-14,mis_rep,15.1,8,60.0,1.0,0.0,2011,447,-0.63
2025-08-14,mis_rep,15.1,9,-120.0,1.0,0.0,2001,549,2.49
2025-08-14,mis_rep,15.1,10,-30.0,1.0,0.0,2003,576,-2.2
2025-08-14,mis_rep,15.1,11,-150.0,1.0,0.0,2005,529,2.1
2025-08-14,mis_rep,15.1,12,0.0,1.0,0.0,2002,630,-1.5
2025-08-14,mis_rep,15.1,13,-60.0,1.0,0.0,2006,754,-2.69
2025-08-14,mis_rep,15.1,14,-30.0,1.0,0.0,2008,453,-2.21
2025-08-14,mis_rep,15.1,15,150.0,1.0,0.0,2008,483,0.98
2025-08-14,mis_rep,15.1,16,90.0,1.0,0.0,2004,553,-0.27
2025-08-14,mis_rep,15.1,17,-150.0,1.0,0.0,2009,512,2.23
2025-08-14,mis_rep,15.1,18,90.0,1.0,0.0,2010,492,0.07
2025-08-14,mis_rep,15.1,19,-120.0,1.0,0.0,2005,401,2.69
2025-08-14,mis_rep,15.1,20,90.0,1.0,0.0,2009,460,-0.14
2025-08-14,mis_rep,15.1,21,60.0,1.0,0.0,2003,471,-0.44
2025-08-14,mis_rep,15.1,22,0.0,1.0,0.0,2001,537,-1.47
2025-08-14,mis_rep,15.1,23,-90.0,1.0,0.0,2005,445,2.97
2025-08-14,mis_rep,15.1,24,-90.0,1.0,0.0,2003,478,-3.01
2025-08-14,mis_rep,15.1,25,-150.0,1.0,0.0,2005,545,2.2
2025-08-14,mis_rep,15.1,26,0.0,1.0,0.0,2008,527,-1.61
2025-08-14,mis_rep,15.1,27,120.0,1.0,0.0,2008,465,0.55
2025-08-14,mis_rep,15.1,28,120.0,1.0,0.0,2011,463,0.5
2025-08-14,mis_rep,15.1,29,-60.0,1.0,0.0,2010,476,-2.57
2025-08-14,mis_rep,15.1,30,30.0,1.0,0.0,2004,517,-0.85
2025-08-14,mis_rep,15.1,31,30.0,1.0,0.0,2009,607,-1.2
2025-08-14,mis_rep,15.1,32,150.0,1.0,0.0,2005,670,1.04
2025-08-14,mis_rep,15.1,33,120.0,1.0,0.0,2004,454,0.5
2025-08-14,mis_rep,15.1,34,90.0,1.0,0.0,2013,479,-0.06
2025-08-14,mis_rep,15.1,35,-120.0,1.0,0.0,2006,440,2.64
2025-08-14,mis_rep,15.1,36,-150.0,1.0,0.0,2009,602,2.28
2025-08-14,mis_rep,15.1,37,-150.0,1.0,0.0,2011,484,2.46
2025-08-14,mis_rep,15.1,38,150.0,1.0,0.0,2009,517,0.84
2025-08-14,mis_rep,15.1,39,30.0,1.0,0.0,2002,575,-0.65
2025-08-14,mis_rep,15.1,40,120.0,1.0,0.0,2008,415,0.41
2025-08-14,mis_rep,15.1,41,30.0,1.0,0.0,2007,598,-0.74
2025-08-14,mis_rep,15.1,42,-30.0,1.0,0.0,2004,584,-2.32
2025-08-14,mis_rep,15.1,43,90.0,1.0,0.0,2007,481,-0.02
2025-08-14,mis_rep,15.1,44,30.0,1.0,0.0,2004,512,-0.92
2025-08-14,mis_rep,15.1,45,90.0,1.0,0.0,2009,476,-0.01
2025-08-14,mis_rep,15.1,46,30.0,1.0,0.0,2003,644,-0.9
2025-08-14,mis_rep,15.1,47,0.0,1.0,0.0,2003,460,-1.44
2025-08-14,mis_rep,15.1,48,90.0,1.0,0.0,2005,472,-0.16
2025-08-14,mis_rep,15.1,49,0.0,1.0,0.0,2007,513,-1.65
2025-08-14,mis_rep,15.1,50,30.0,1.0,0.0,2007,642,-0.97
2025-08-14,mis_rep,15.1,51,-90.0,1.0,0.0,2005,576,-3.04
2025-08-14,mis_rep,15.1,52,-90.0,1.0,0.0,2004,541,-3.07
2025-08-14,mis_rep,15.1,53,-120.0,1.0,0.0,2002,431,2.69
2025-08-14,mis_rep,15.1,54,120.0,1.0,0.0,2010,475,0.75
2025-08-14,mis_rep,15.1,55,0.0,1.0,0.0,2008,549,-1.77
2025-08-14,mis_rep,15.1,56,60.0,1.0,0.0,2004,482,-0.49
2025-08-14,mis_rep,15.1,57,-90.0,1.0,0.0,2006,538,3.13
2025-08-14,mis_rep,15.1,58,-60.0,1.0,0.0,2009,534,-2.84
2025-08-14,mis_rep,15.1,59,0.0,1.0,0.0,2008,596,-1.54
2025-08-14,mis_rep,15.1,60,-30.0,1.0,0.0,2008,514,-2.39
2025-08-14,mis_rep,15.1,61,30.0,1.0,0.0,2001,525,-0.7
2025-08-14,mis_rep,15.1,62,120.0,1.0,0.0,2007,522,0.64
2025-08-14,mis_rep,15.1,63,-30.0,1.0,0.0,2008,507,-2.46
2025-08-14,mis_rep,15.1,64,-120.0,1.0,0.0,2009,511,2.53
2025-08-14,mis_rep,15.1,65,150.0,1.0,0.0,2009,713,1.12
2025-08-14,mis_rep,15.1,66,-30.0,1.0,0.0,2009,513,-2.27
2025-08-14,mis_rep,15.1,67,150.0,1.0,0.0,2002,497,1.06
2025-08-14,mis_rep,15.1,68,-60.0,1.0,0.0,2007,470,-2.71
2025-08-14,mis_rep,15.1,69,-120.0,1.0,0.0,2007,546,2.7
2025-08-14,mis_rep,15.1,70,60.0,1.0,0.0,2008,447,-0.47
2025-08-14,mis_rep,15.1,71,-60.0,1.0,0.0,2005,477,-2.88
2025-08-14,mis_rep,15.1,72,-120.0,1.0,0.0,2006,524,2.8
2025-08-14,mis_rep,15.1,73,0.0,1.0,0.0,2004,519,-2.04
2025-08-14,mis_rep,15.1,74,90.0,1.0,0.0,2008,481,0.04
2025-08-14,mis_rep,15.1,75,-30.0,1.0,0.0,2009,463,-2.47
2025-08-14,mis_rep,15.1,76,-150.0,1.0,0.0,2003,525,2.44
2025-08-14,mis_rep,15.1,77,60.0,1.0,0.0,2006,444,-0.33
2025-08-14,mis_rep,15.1,78,-90.0,1.0,0.0,2009,467,3.13
2025-08-14,mis_rep,15.1,79,-90.0,1.0,0.0,2010,433,3.08
2025-08-14,mis_rep,15.1,80,150.0,1.0,0.0,2009,557,1.01
2025-08-14,mis_rep,15.1,81,0.0,1.0,0.0,2006,479,-1.78
2025-08-14,mis_rep,15.1,82,-90.0,1.0,0.0,2010,454,3.05
2025-08-14,mis_rep,15.1,83,-60.0,1.0,0.0,2003,460,-2.73
2025-08-14,mis_rep,15.1,84,-150.0,1.0,0.0,2010,578,2.48
2025-08-14,mis_rep,15.1,85,-60.0,1.0,0.0,2011,461,-2.78
2025-08-14,mis_rep,15.1,86,30.0,1.0,0.0,2002,555,-0.88
2025-08-14,mis_rep,15.1,87,-60.0,1.0,0.0,2007,424,-2.83
2025-08-14,mis_rep,15.1,88,-60.0,1.0,0.0,2008,508,-2.9
2025-08-14,mis_rep,15.1,89,-150.0,1.0,0.0,2005,477,2.45
2025-08-14,mis_rep,15.1,90,120.0,1.0,0.0,2001,661,0.67
2025-08-14,mis_rep,15.1,91,0.0,1.0,0.0,2003,576,-1.7
2025-08-14,mis_rep,15.1,92,-90.0,1.0,0.0,2006,641,3.12
2025-08-14,mis_rep,15.1,93,-120.0,1.0,0.0,2010,526,2.68
2025-08-14,mis_rep,15.1,94,150.0,1.0,0.0,2009,525,0.83
