date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-18,mis_rep,21,0,-150.0,1.0,0.0,2004,3325,2.42
2025-08-18,mis_rep,21,1,-90.0,1.0,0.0,2005,505,-2.95
2025-08-18,mis_rep,21,2,-30.0,1.0,0.0,2005,533,-2.08
2025-08-18,mis_rep,21,3,0.0,1.0,0.0,2005,551,-1.39
2025-08-18,mis_rep,21,4,30.0,1.0,0.0,2009,601,-0.92
2025-08-18,mis_rep,21,5,60.0,1.0,0.0,2008,546,-0.51
2025-08-18,mis_rep,21,6,120.0,1.0,0.0,2004,508,0.57
2025-08-18,mis_rep,21,7,-60.0,1.0,0.0,2007,474,-2.59
2025-08-18,mis_rep,21,8,60.0,1.0,0.0,2012,464,-0.38
2025-08-18,mis_rep,21,9,-120.0,1.0,0.0,2002,515,2.77
2025-08-18,mis_rep,21,10,-90.0,1.0,0.0,2008,504,3.09
2025-08-18,mis_rep,21,11,-30.0,1.0,0.0,2008,718,-2.19
2025-08-18,mis_rep,21,12,0.0,1.0,0.0,2011,619,-1.53
2025-08-18,mis_rep,21,13,120.0,1.0,0.0,2002,587,0.46
2025-08-18,mis_rep,21,14,-150.0,1.0,0.0,2005,698,2.18
2025-08-18,mis_rep,21,15,90.0,1.0,0.0,2001,510,-0.02
2025-08-18,mis_rep,21,16,90.0,1.0,0.0,2007,613,0.06
2025-08-18,mis_rep,21,17,30.0,1.0,0.0,2001,607,-1.05
2025-08-18,mis_rep,21,18,90.0,1.0,0.0,2005,607,0.01
2025-08-18,mis_rep,21,19,-150.0,1.0,0.0,2003,593,1.96
2025-08-18,mis_rep,21,20,150.0,1.0,0.0,2002,652,1.01
2025-08-18,mis_rep,21,21,30.0,1.0,0.0,2008,535,-0.84
2025-08-18,mis_rep,21,22,150.0,1.0,0.0,2010,608,1.02
2025-08-18,mis_rep,21,23,-120.0,1.0,0.0,2004,631,2.72
2025-08-18,mis_rep,21,24,-90.0,1.0,0.0,2006,524,3.09
2025-08-18,mis_rep,21,25,120.0,1.0,0.0,2006,634,0.63
2025-08-18,mis_rep,21,26,60.0,1.0,0.0,2011,490,-0.48
2025-08-18,mis_rep,21,27,150.0,1.0,0.0,2002,444,0.95
2025-08-18,mis_rep,21,28,-60.0,1.0,0.0,2005,544,-2.63
