date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-07-29,mis_rep,11,0,90.0,1.0,0.0,2010,506,0.01
2025-07-29,mis_rep,11,1,120.0,1.0,0.0,2006,861,0.46
2025-07-29,mis_rep,11,2,-60.0,1.0,0.0,2008,681,-2.6
2025-07-29,mis_rep,11,3,-150.0,1.0,0.0,2005,580,2.28
2025-07-29,mis_rep,11,4,30.0,1.0,0.0,2008,578,-0.78
2025-07-29,mis_rep,11,5,-150.0,1.0,0.0,2010,593,2.21
2025-07-29,mis_rep,11,6,-90.0,1.0,0.0,2009,577,-3.01
2025-07-29,mis_rep,11,7,30.0,1.0,0.0,2007,526,-0.98
2025-07-29,mis_rep,11,8,-60.0,1.0,0.0,2005,548,-2.71
2025-07-29,mis_rep,11,9,-150.0,1.0,0.0,2006,490,2.38
2025-07-29,mis_rep,11,10,150.0,1.0,0.0,2002,704,1.13
2025-07-29,mis_rep,11,11,120.0,1.0,0.0,2001,693,0.59
2025-07-29,mis_rep,11,12,150.0,1.0,0.0,2002,648,0.98
2025-07-29,mis_rep,11,13,-120.0,1.0,0.0,2008,585,2.75
2025-07-29,mis_rep,11,14,60.0,1.0,0.0,2001,572,-0.45
2025-07-29,mis_rep,11,15,30.0,1.0,0.0,2001,529,-1.08
2025-07-29,mis_rep,11,16,0.0,1.0,0.0,2008,532,-1.69
2025-07-29,mis_rep,11,17,90.0,1.0,0.0,2006,570,-0.1
2025-07-29,mis_rep,11,18,60.0,1.0,0.0,2010,507,-0.4
2025-07-29,mis_rep,11,19,-30.0,1.0,0.0,2002,571,-2.24
2025-07-29,mis_rep,11,20,-120.0,1.0,0.0,2010,601,2.67
2025-07-29,mis_rep,11,21,120.0,1.0,0.0,2005,545,0.44
2025-07-29,mis_rep,11,22,-120.0,1.0,0.0,2005,548,2.68
2025-07-29,mis_rep,11,23,-90.0,1.0,0.0,2011,545,-3.01
2025-07-29,mis_rep,11,24,0.0,1.0,0.0,2003,746,-1.45
2025-07-29,mis_rep,11,25,0.0,1.0,0.0,2008,609,-1.61
2025-07-29,mis_rep,11,26,-60.0,1.0,0.0,2006,620,-2.71
2025-07-29,mis_rep,11,27,90.0,1.0,0.0,2010,630,0.06
2025-07-29,mis_rep,11,28,-30.0,1.0,0.0,2001,578,-2.19
2025-07-29,mis_rep,11,29,150.0,1.0,0.0,2001,701,0.89
2025-07-29,mis_rep,11,30,60.0,1.0,0.0,2010,689,-0.43
2025-07-29,mis_rep,11,31,-90.0,1.0,0.0,2007,547,-3.04
2025-07-29,mis_rep,11,32,-30.0,1.0,0.0,2006,588,-2.16
2025-07-29,mis_rep,11,33,30.0,1.0,0.0,2002,618,-0.66
2025-07-29,mis_rep,11,34,60.0,1.0,0.0,2002,734,-0.39
2025-07-29,mis_rep,11,35,150.0,1.0,0.0,2010,669,0.94
2025-07-29,mis_rep,11,36,-120.0,1.0,0.0,2003,703,2.63
2025-07-29,mis_rep,11,37,90.0,1.0,0.0,2003,756,0.04
2025-07-29,mis_rep,11,38,60.0,1.0,0.0,2001,760,-0.5
2025-07-29,mis_rep,11,39,30.0,1.0,0.0,2010,877,-0.94
2025-07-29,mis_rep,11,40,-30.0,1.0,0.0,2003,995,-2.38
2025-07-29,mis_rep,11,41,-30.0,1.0,0.0,2010,790,-2.29
2025-07-29,mis_rep,11,42,30.0,1.0,0.0,2007,728,-0.98
2025-07-29,mis_rep,11,43,-150.0,1.0,0.0,2001,1007,2.42
2025-07-29,mis_rep,11,44,120.0,1.0,0.0,2003,942,0.68
2025-07-29,mis_rep,11,45,-60.0,1.0,0.0,2010,646,-2.61
2025-07-29,mis_rep,11,46,-150.0,1.0,0.0,2002,823,2.35
2025-07-29,mis_rep,11,47,150.0,1.0,0.0,2002,922,1.17
2025-07-29,mis_rep,11,48,30.0,1.0,0.0,2007,970,-0.91
2025-07-29,mis_rep,11,49,-60.0,1.0,0.0,2009,911,-2.79
2025-07-29,mis_rep,11,50,-120.0,1.0,0.0,2011,870,2.6
2025-07-29,mis_rep,11,51,-60.0,1.0,0.0,2002,1038,-2.92
2025-07-29,mis_rep,11,52,60.0,1.0,0.0,2005,1170,-0.42
2025-07-29,mis_rep,11,53,30.0,1.0,0.0,2009,1206,-1.03
2025-07-29,mis_rep,11,54,60.0,1.0,0.0,2003,958,-0.44
2025-07-29,mis_rep,11,55,90.0,1.0,0.0,2003,1366,-0.01
2025-07-29,mis_rep,11,56,-30.0,1.0,0.0,2001,1038,-2.4
2025-07-29,mis_rep,11,57,0.0,1.0,0.0,2009,1120,-1.5
2025-07-29,mis_rep,11,58,120.0,1.0,0.0,2001,1132,0.59
2025-07-29,mis_rep,11,59,60.0,1.0,0.0,2010,1051,-0.5
2025-07-29,mis_rep,11,60,90.0,1.0,0.0,2001,1093,-0.06
2025-07-29,mis_rep,11,61,-150.0,1.0,0.0,2010,1196,2.5
2025-07-29,mis_rep,11,62,-150.0,1.0,0.0,2007,949,2.37
2025-07-29,mis_rep,11,63,30.0,1.0,0.0,2003,1041,-0.74
2025-07-29,mis_rep,11,64,-30.0,1.0,0.0,2003,1060,-2.39
2025-07-29,mis_rep,11,65,-60.0,1.0,0.0,2007,858,-2.83
2025-07-29,mis_rep,11,66,60.0,1.0,0.0,2005,1040,-0.4
2025-07-29,mis_rep,11,67,90.0,1.0,0.0,2003,1136,0.03
2025-07-29,mis_rep,11,68,-150.0,1.0,0.0,2001,1520,2.41
2025-07-29,mis_rep,11,69,90.0,1.0,0.0,2008,1173,0.09
2025-07-29,mis_rep,11,70,-60.0,1.0,0.0,2007,1060,-2.99
2025-07-29,mis_rep,11,71,-60.0,1.0,0.0,2001,1066,-2.79
2025-07-29,mis_rep,11,72,-120.0,1.0,0.0,2008,899,2.79
2025-07-29,mis_rep,11,73,0.0,1.0,0.0,2009,1087,-1.62
2025-07-29,mis_rep,11,74,-30.0,1.0,0.0,2001,950,-2.53
2025-07-29,mis_rep,11,75,60.0,1.0,0.0,2008,973,-0.41
2025-07-29,mis_rep,11,76,-120.0,1.0,0.0,2010,930,2.61
2025-07-29,mis_rep,11,77,150.0,1.0,0.0,2006,818,1.15
2025-07-29,mis_rep,11,78,0.0,1.0,0.0,2008,1168,-1.59
2025-07-29,mis_rep,11,79,120.0,1.0,0.0,2007,1011,0.78
2025-07-29,mis_rep,11,80,-90.0,1.0,0.0,2004,1165,-3.11
2025-07-29,mis_rep,11,81,-120.0,1.0,0.0,2008,2117,2.55
2025-07-29,mis_rep,11,82,-60.0,1.0,0.0,2007,973,-2.85
2025-07-29,mis_rep,11,83,-60.0,1.0,0.0,2002,764,-2.87
2025-07-29,mis_rep,11,84,120.0,1.0,0.0,2003,1166,0.83
2025-07-29,mis_rep,11,85,120.0,1.0,0.0,2005,908,0.87
2025-07-29,mis_rep,11,86,0.0,1.0,0.0,2010,1119,-1.59
2025-07-29,mis_rep,11,87,90.0,1.0,0.0,2007,1193,0.16
2025-07-29,mis_rep,11,88,0.0,1.0,0.0,2001,703,-1.6
2025-07-29,mis_rep,11,89,60.0,1.0,0.0,2010,771,-0.38
2025-07-29,mis_rep,11,90,90.0,1.0,0.0,2001,1209,-0.02
2025-07-29,mis_rep,11,91,30.0,1.0,0.0,2007,811,-0.77
2025-07-29,mis_rep,11,92,-30.0,1.0,0.0,2008,822,-2.53
2025-07-29,mis_rep,11,93,120.0,1.0,0.0,2011,977,0.79
2025-07-29,mis_rep,11,94,-150.0,1.0,0.0,2006,1494,2.23
2025-07-29,mis_rep,11,95,90.0,1.0,0.0,2004,1163,0.07
2025-07-29,mis_rep,11,96,-30.0,1.0,0.0,2003,972,-2.52
2025-07-29,mis_rep,11,97,150.0,1.0,0.0,2009,919,1.0
2025-07-29,mis_rep,11,98,-90.0,1.0,0.0,2003,858,3.13
2025-07-29,mis_rep,11,99,-30.0,1.0,0.0,2008,869,-2.53
2025-07-29,mis_rep,11,100,-90.0,1.0,0.0,2003,1013,3.11
2025-07-29,mis_rep,11,101,-90.0,1.0,0.0,2002,951,3.13
2025-07-29,mis_rep,11,102,60.0,1.0,0.0,2009,1154,-0.44
2025-07-29,mis_rep,11,103,0.0,1.0,0.0,2008,975,-1.56
2025-07-29,mis_rep,11,104,120.0,1.0,0.0,2008,1037,0.87
2025-07-29,mis_rep,11,105,-30.0,1.0,0.0,2003,1013,-2.49
2025-07-29,mis_rep,11,106,-90.0,1.0,0.0,2004,1030,-3.01
2025-07-29,mis_rep,11,107,120.0,1.0,0.0,2004,1703,0.76
2025-07-29,mis_rep,11,108,-150.0,1.0,0.0,2002,1310,2.39
2025-07-29,mis_rep,11,109,-60.0,1.0,0.0,2001,922,-2.81
2025-07-29,mis_rep,11,110,90.0,1.0,0.0,2005,1195,0.09
2025-07-29,mis_rep,11,111,-120.0,1.0,0.0,2002,1313,2.44
2025-07-29,mis_rep,11,112,120.0,1.0,0.0,2005,1100,0.62
2025-07-29,mis_rep,11,113,-30.0,1.0,0.0,2008,664,-2.27
2025-07-29,mis_rep,11,114,0.0,1.0,0.0,2005,765,-1.54
2025-07-29,mis_rep,11,115,150.0,1.0,0.0,2003,1043,1.31
2025-07-29,mis_rep,11,116,120.0,1.0,0.0,2008,1044,0.62
2025-07-29,mis_rep,11,117,60.0,1.0,0.0,2010,843,-0.55
2025-07-29,mis_rep,11,118,-90.0,1.0,0.0,2006,865,-3.09
2025-07-29,mis_rep,11,119,120.0,1.0,0.0,2002,990,0.62
2025-07-29,mis_rep,11,120,-150.0,1.0,0.0,2005,1186,2.2
2025-07-29,mis_rep,11,121,30.0,1.0,0.0,2007,950,-0.98
2025-07-29,mis_rep,11,122,30.0,1.0,0.0,2009,836,-0.85
2025-07-29,mis_rep,11,123,-90.0,1.0,0.0,2005,942,3.08
2025-07-29,mis_rep,11,124,-120.0,1.0,0.0,2011,907,2.61
2025-07-29,mis_rep,11,125,-120.0,1.0,0.0,2002,874,2.62
2025-07-29,mis_rep,11,126,-150.0,1.0,0.0,2007,950,2.06
2025-07-29,mis_rep,11,127,-60.0,1.0,0.0,2001,833,-2.73
2025-07-29,mis_rep,11,128,60.0,1.0,0.0,2004,852,-0.52
2025-07-29,mis_rep,11,129,-60.0,1.0,0.0,2003,779,-2.8
2025-07-29,mis_rep,11,130,-150.0,1.0,0.0,2001,998,2.23
2025-07-29,mis_rep,11,131,-150.0,1.0,0.0,2005,880,2.09
2025-07-29,mis_rep,11,132,-30.0,1.0,0.0,2004,1014,-2.28
2025-07-29,mis_rep,11,133,30.0,1.0,0.0,2002,786,-0.98
2025-07-29,mis_rep,11,134,30.0,1.0,0.0,2005,901,-0.99
2025-07-29,mis_rep,11,135,90.0,1.0,0.0,2005,1096,0.02
2025-07-29,mis_rep,11,136,150.0,1.0,0.0,2010,1087,0.97
2025-07-29,mis_rep,11,137,150.0,1.0,0.0,2007,1087,1.04
2025-07-29,mis_rep,11,138,-90.0,1.0,0.0,2010,883,-3.12
2025-07-29,mis_rep,11,139,120.0,1.0,0.0,2012,904,0.74
2025-07-29,mis_rep,11,140,-150.0,1.0,0.0,2011,1103,2.22
2025-07-29,mis_rep,11,141,120.0,1.0,0.0,2008,905,0.77
2025-07-29,mis_rep,11,142,-30.0,1.0,0.0,2009,1003,-2.22
2025-07-29,mis_rep,11,143,-120.0,1.0,0.0,2009,1017,2.65
2025-07-29,mis_rep,11,144,60.0,1.0,0.0,2004,1302,-0.42
2025-07-29,mis_rep,11,145,-60.0,1.0,0.0,2005,814,-2.79
2025-07-29,mis_rep,11,146,0.0,1.0,0.0,2002,871,-1.69
2025-07-29,mis_rep,11,147,150.0,1.0,0.0,2010,1215,1.19
2025-07-29,mis_rep,11,148,0.0,1.0,0.0,2010,799,-1.5
2025-07-29,mis_rep,11,149,-150.0,1.0,0.0,2005,1381,2.28
2025-07-29,mis_rep,11,150,60.0,1.0,0.0,2008,1005,-0.51
2025-07-29,mis_rep,11,151,30.0,1.0,0.0,2006,866,-0.91
2025-07-29,mis_rep,11,152,0.0,1.0,0.0,2002,654,-1.69
2025-07-29,mis_rep,11,153,120.0,1.0,0.0,2008,970,0.69
2025-07-29,mis_rep,11,154,-150.0,1.0,0.0,2003,967,2.3
2025-07-29,mis_rep,11,155,150.0,1.0,0.0,2009,874,1.09
2025-07-29,mis_rep,11,156,-90.0,1.0,0.0,2010,849,-3.1
2025-07-29,mis_rep,11,157,-150.0,1.0,0.0,2012,1013,2.23
2025-07-29,mis_rep,11,158,90.0,1.0,0.0,2004,860,-0.04
2025-07-29,mis_rep,11,159,-120.0,1.0,0.0,2001,934,2.45
2025-07-29,mis_rep,11,160,30.0,1.0,0.0,2002,813,-0.85
2025-07-29,mis_rep,11,161,30.0,1.0,0.0,2001,790,-1.13
2025-07-29,mis_rep,11,162,90.0,1.0,0.0,2003,847,-0.04
2025-07-29,mis_rep,11,163,120.0,1.0,0.0,2005,832,0.51
2025-07-29,mis_rep,11,164,0.0,1.0,0.0,2001,838,-1.65
2025-07-29,mis_rep,11,165,-90.0,1.0,0.0,2008,762,3.1
2025-07-29,mis_rep,11,166,120.0,1.0,0.0,2006,810,0.6
2025-07-29,mis_rep,11,167,-120.0,1.0,0.0,2001,854,2.58
2025-07-29,mis_rep,11,168,30.0,1.0,0.0,2003,755,-0.94
2025-07-29,mis_rep,11,169,-30.0,1.0,0.0,2009,888,-2.37
2025-07-29,mis_rep,11,170,90.0,1.0,0.0,2004,962,0.02
2025-07-29,mis_rep,11,171,-90.0,1.0,0.0,2001,808,3.03
2025-07-29,mis_rep,11,172,30.0,1.0,0.0,2004,786,-0.9
2025-07-29,mis_rep,11,173,-90.0,1.0,0.0,2010,813,3.08
2025-07-29,mis_rep,11,174,-90.0,1.0,0.0,2009,856,3.12
2025-07-29,mis_rep,11,175,-120.0,1.0,0.0,2002,875,2.49
2025-07-29,mis_rep,11,176,150.0,1.0,0.0,2010,1055,1.05
2025-07-29,mis_rep,11,177,30.0,1.0,0.0,2009,1027,-1.01
2025-07-29,mis_rep,11,178,-30.0,1.0,0.0,2004,1077,-2.33
2025-07-29,mis_rep,11,179,-60.0,1.0,0.0,2006,890,-2.9
2025-07-29,mis_rep,11,180,60.0,1.0,0.0,2005,772,-0.57
2025-07-29,mis_rep,11,181,-120.0,1.0,0.0,2009,875,2.59
2025-07-29,mis_rep,11,182,0.0,1.0,0.0,2005,913,-1.62
2025-07-29,mis_rep,11,183,-60.0,1.0,0.0,2005,877,-2.85
2025-07-29,mis_rep,11,184,90.0,1.0,0.0,2002,939,-0.06
2025-07-29,mis_rep,11,185,120.0,1.0,0.0,2002,913,0.54
2025-07-29,mis_rep,11,186,-90.0,1.0,0.0,2009,850,-3.11
