,experiment,condition,subject,block,level_4,p,nll,bic,model
0,2,new_learn,72,2,0,48.8090801079165,107.36844956061185,223.94723949319987,nll_unix_0
1,2,new_learn,72,2,1,38.04435188098512,107.36844956061185,223.94723949319987,nll_unix_0
2,2,new_learn,72,2,0,45.631302199265384,55.493592565148404,120.197525502273,nll_unix_1
3,2,new_learn,72,2,1,31.16695500429206,55.493592565148404,120.197525502273,nll_unix_1
4,2,new_learn,72,2,0,48.57528041099805,70.36672530967624,149.94379099132865,nll_uniy_0
5,2,new_learn,72,2,1,38.033201972239524,70.36672530967624,149.94379099132865,nll_uniy_0
6,2,new_learn,72,2,0,44.48446164645906,93.81014971690138,196.83063980577893,nll_uniy_1
7,2,new_learn,72,2,1,38.04367374781371,93.81014971690138,196.83063980577893,nll_uniy_1
8,2,new_learn,72,2,0,-0.8734079567993618,46.857364143369296,107.53023884470286,nll_glc_0
9,2,new_learn,72,2,1,17.185373042564006,46.857364143369296,107.53023884470286,nll_glc_0
10,2,new_learn,72,2,2,20.37906840444598,46.857364143369296,107.53023884470286,nll_glc_0
11,2,new_learn,72,2,0,0.9999999894638114,55.50335757450963,124.82222570698353,nll_glc_1
12,2,new_learn,72,2,1,-45.8059362280047,55.50335757450963,124.82222570698353,nll_glc_1
13,2,new_learn,72,2,2,30.628238124999527,55.50335757450963,124.82222570698353,nll_glc_1
14,2,new_learn,72,6,0,43.26354918560417,68.16728257156431,145.5449055151048,nll_unix_0
15,2,new_learn,72,6,1,38.19765063959651,68.16728257156431,145.5449055151048,nll_unix_0
16,2,new_learn,72,6,0,49.877067548027746,96.86840163060637,202.94714363318892,nll_unix_1
17,2,new_learn,72,6,1,38.197817201142314,96.86840163060637,202.94714363318892,nll_unix_1
18,2,new_learn,72,6,0,50.187124247625704,63.7301243197393,136.67058901145478,nll_uniy_0
19,2,new_learn,72,6,1,38.168820453625415,63.7301243197393,136.67058901145478,nll_uniy_0
20,2,new_learn,72,6,0,56.874797805092534,94.26814014579314,197.74662066356245,nll_uniy_1
21,2,new_learn,72,6,1,38.19794738724972,94.26814014579314,197.74662066356245,nll_uniy_1
22,2,new_learn,72,6,0,0.5920110568164516,55.52242839876303,124.86036735549034,nll_glc_0
23,2,new_learn,72,6,1,-68.35135625067555,55.52242839876303,124.86036735549034,nll_glc_0
24,2,new_learn,72,6,2,26.91689557727028,55.52242839876303,124.86036735549034,nll_glc_0
25,2,new_learn,72,6,0,-0.9999999482632609,68.1839921029374,150.18349476383906,nll_glc_1
26,2,new_learn,72,6,1,43.04027235429048,68.1839921029374,150.18349476383906,nll_glc_1
27,2,new_learn,72,6,2,38.16635433194553,68.1839921029374,150.18349476383906,nll_glc_1
28,2,new_learn,74,2,0,58.94689549269599,86.4173953723784,182.04513111673296,nll_unix_0
