condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'reach'}",134565678,0,Left,31.503703092547738,52.59524152830495,1.575185154627387,0.8261641219955181,Right,Incorrect,0.0,0.0,-45,45,2012,15969,1.59
"{'cat': 'RB', 'resp': 'reach'}",134565678,1,Right,65.14214306414922,42.63279345231467,3.257107153207461,0.6696743535590141,Right,Correct,0.0,0.0,-45,45,2009,3275,-0.76
"{'cat': 'RB', 'resp': 'reach'}",134565678,2,Left,33.16260932771672,58.93167818319653,1.658130466385836,0.9256966362202406,Left,Correct,0.0,0.0,-45,45,2004,2750,-2.61
"{'cat': 'RB', 'resp': 'reach'}",134565678,3,Left,36.56523493921852,80.48778853960758,1.8282617469609261,1.2642992258985994,Right,Incorrect,0.0,0.0,-45,45,2003,978,-0.59
"{'cat': 'RB', 'resp': 'reach'}",134565678,4,Left,37.14571336303724,75.37020260124683,1.857285668151862,1.1839123739582569,Right,Incorrect,0.0,0.0,-45,45,2007,28100,-0.65
"{'cat': 'RB', 'resp': 'reach'}",134565678,5,Left,36.72193905301303,17.068256289629808,1.8360969526506516,0.2681075428454439,Left,Correct,0.0,0.0,-45,45,2001,7519,-2.54
