condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",45678900,0,Left,48.49325362904422,67.82591388801973,2.4246626814522108,1.0654069639680834,Right,Incorrect,0.0,0.0,-45,45,2004,26450,1.21
"{'cat': 'II', 'resp': 'reach'}",45678900,1,Left,53.98454228773179,64.23066033297812,2.6992271143865896,1.008932853186527,Right,Incorrect,0.0,0.0,-45,45,2007,3395,-0.78
"{'cat': 'II', 'resp': 'reach'}",45678900,2,Right,42.90588043078681,18.892919858014285,2.1452940215393403,0.296769291153992,Left,Incorrect,0.0,0.0,-45,45,2008,3586,-2.74
"{'cat': 'II', 'resp': 'reach'}",45678900,3,Left,48.984536804199074,60.8698863053927,2.449226840209954,0.9561419382093382,Right,Incorrect,0.0,0.0,-45,45,2005,590,-0.74
"{'cat': 'II', 'resp': 'reach'}",45678900,4,Left,64.94416744877657,87.79334942227179,3.2472083724388283,1.3790547078952538,Left,Correct,0.0,0.0,-45,45,2012,5572,-2.71
"{'cat': 'II', 'resp': 'reach'}",45678900,5,Right,67.89603705457371,45.2634697420023,3.394801852728685,0.7109969200872915,Right,Correct,0.0,0.0,-45,45,2003,22449,2.06
"{'cat': 'II', 'resp': 'reach'}",45678900,6,Right,38.29653157725993,25.30681422281227,1.9148265788629966,0.3975185082407436,Right,Correct,0.0,0.0,-45,45,2006,5891,-0.78
"{'cat': 'II', 'resp': 'reach'}",45678900,7,Left,46.83436436321567,75.82493849770317,2.341718218160784,1.1910553487164108,Left,Correct,0.0,0.0,-45,45,2003,2448,-2.74
"{'cat': 'II', 'resp': 'reach'}",45678900,8,Left,44.60085966697698,64.18743423900807,2.230042983348849,1.0082538592902284,Right,Incorrect,0.0,0.0,-45,45,2004,527,-0.66
