condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8024.0,0.005427201609293775,946.6407326772361
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8034.0,0.017909765310903936,946.654530998536
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8045.0,0.016932869021175634,946.6631567176003
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8055.0,0.018886661600419075,946.6655496277959
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8066.0,0.025073671435222877,946.6713453992393
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8078.0,0.03071796110894809,946.6731162570179
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8088.0,0.03516826642851356,946.6851701512522
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8099.0,0.04341761287477652,946.6891850138006
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8110.0,0.047976462226557715,946.6922178450645
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8120.0,0.05340366383606465,946.6976089660126
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8130.0,0.057419793026980415,946.6995532986125
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8141.0,0.06436661108686792,946.7101851460286
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8151.0,0.06859982834221512,946.710645263795
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8161.0,0.07348430979064347,946.7085710112108
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8171.0,0.07750043898155923,946.7160140489292
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8181.0,0.08347036075171843,946.7206658544372
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8193.0,0.08922319445765936,946.7275679931956
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8203.0,0.0941076759060877,946.7351234545106
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8213.0,0.10203139025570351,946.7331124867326
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8224.0,0.10941238444445389,946.7346465848838
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8234.0,0.11147472105591305,946.7400674869173
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8245.0,0.11581648234347597,946.7477242039218
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8255.0,0.11853008314801627,946.75265483484
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8265.0,0.12211203621028233,946.744231627155
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8276.0,0.11994115556660745,946.7091930636279
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8286.0,0.12026678766304144,946.6866446872331
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8296.0,0.12222058024249804,946.6593212860902
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8307.0,0.12580253330455093,946.6517758758914
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8317.0,0.12992720652768242,946.6529976449118
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8328.0,0.13340061555773275,946.662110284719
"{'cat': 'RB', 'resp': 'reach'}",5666666666,0,state_init,8338.0,0.13915344926367368,946.6742468214647
