condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'reach'}",42,0,Left,32.006886499845706,38.85942204391443,1.6003443249922853,0.610402374079534,Right,Incorrect,0.0,0.0,-45,45,2004,1129,-0.82
"{'cat': 'RB', 'resp': 'reach'}",42,1,Left,32.67302894912848,47.57552233014199,1.6336514474564239,0.7473145572153561,Right,Incorrect,0.0,0.0,-45,45,2004,1800,-0.71
"{'cat': 'RB', 'resp': 'reach'}",42,2,Right,68.72037188076246,54.898899393356494,3.436018594038123,0.8623498951216695,Right,Correct,0.0,0.0,-45,45,2005,1554,-0.76
"{'cat': 'RB', 'resp': 'reach'}",42,3,Right,56.40273414163249,58.180733407043355,2.8201367070816246,0.9139008232601684,Right,Correct,0.0,0.0,-45,45,2009,2629,-0.71
"{'cat': 'RB', 'resp': 'reach'}",42,4,Left,38.28486700091984,85.73611810433364,1.9142433500459919,1.3467397939194072,Left,Correct,0.0,0.0,-45,45,2004,825,-2.42
"{'cat': 'RB', 'resp': 'reach'}",42,5,Right,58.35386031049982,42.29323811031963,2.917693015524991,0.6643406307195201,Right,Correct,0.0,0.0,-45,45,2004,875,-0.94
"{'cat': 'RB', 'resp': 'reach'}",42,6,Right,65.49672260451587,42.420855278612855,3.2748361302257933,0.6663452365114297,Right,Correct,0.0,0.0,-45,45,2008,1054,-0.86
"{'cat': 'RB', 'resp': 'reach'}",42,7,Right,57.58800342536351,68.26843912129445,2.8794001712681756,1.0723581340775035,Right,Correct,0.0,0.0,-45,45,2004,3075,-0.84
"{'cat': 'RB', 'resp': 'reach'}",42,8,Left,33.87574481395892,77.64611337341488,1.693787240697946,1.2196622967686017,Left,Correct,0.0,0.0,-45,45,2004,696,-2.31
"{'cat': 'RB', 'resp': 'reach'}",42,9,Left,41.87773298515877,82.1055803415813,2.093886649257939,1.2897114400991918,Left,Correct,0.0,0.0,-45,45,2004,1025,-2.35
"{'cat': 'RB', 'resp': 'reach'}",42,10,Right,67.62010117676901,59.4118795563754,3.3810050588384506,0.9332396217513529,Right,Correct,0.0,0.0,-45,45,2009,895,-0.88
"{'cat': 'RB', 'resp': 'reach'}",42,11,Left,35.4961073278333,65.09536557456897,1.774805366391665,1.022515611359039,Left,Correct,0.0,0.0,-45,45,2004,1109,-2.41
"{'cat': 'RB', 'resp': 'reach'}",42,12,Left,44.604186149629356,47.83206023023373,2.2302093074814677,0.7513442451268338,Left,Correct,0.0,0.0,-45,45,2004,1100,-2.33
"{'cat': 'RB', 'resp': 'reach'}",42,13,Left,36.02958947396398,35.64084626941502,1.8014794736981992,0.5598451040385871,Left,Correct,0.0,0.0,-45,45,2005,1037,-2.41
"{'cat': 'RB', 'resp': 'reach'}",42,14,Right,54.556484992015434,27.44234302743125,2.7278242496007716,0.4310633162613455,Left,Incorrect,0.0,0.0,-45,45,2008,1400,-2.49
"{'cat': 'RB', 'resp': 'reach'}",42,15,Left,37.49328458241521,25.240800430905587,1.8746642291207605,0.3964815660222954,Left,Correct,0.0,0.0,-45,45,2008,1017,-2.48
"{'cat': 'RB', 'resp': 'reach'}",42,16,Right,59.98473303416809,28.589952909156146,2.9992366517084044,0.4490899301294154,Right,Correct,0.0,0.0,-45,45,2012,587,-0.84
"{'cat': 'RB', 'resp': 'reach'}",42,17,Left,32.13566314188417,72.27978946139481,1.6067831570942088,1.1353682778746745,Left,Correct,0.0,0.0,-45,45,2009,945,-2.38
"{'cat': 'RB', 'resp': 'reach'}",42,18,Right,54.5042533778045,66.52863514195842,2.725212668890225,1.0450293570766616,Right,Correct,0.0,0.0,-45,45,2008,1521,-0.79
"{'cat': 'RB', 'resp': 'reach'}",42,19,Right,64.9596442316438,43.12787867412996,3.2479822115821895,0.6774511340377929,Right,Correct,0.0,0.0,-45,45,2004,1279,-0.78
"{'cat': 'RB', 'resp': 'reach'}",42,20,Left,44.296024411864224,82.18829274336181,2.214801220593211,1.2910106834681636,Left,Correct,0.0,0.0,-45,45,2004,1212,-2.39
"{'cat': 'RB', 'resp': 'reach'}",42,21,Right,54.98881371171957,57.977225566794395,2.7494406855859785,0.910704129580798,Right,Correct,0.0,0.0,-45,45,2004,1409,-0.8
"{'cat': 'RB', 'resp': 'reach'}",42,22,Left,36.425176218887295,45.267584452027066,1.8212588109443646,0.7110615538012188,Left,Correct,0.0,0.0,-45,45,2004,888,-2.37
"{'cat': 'RB', 'resp': 'reach'}",42,23,Left,33.542114396711746,69.50075214273295,1.6771057198355874,1.0917152617528745,Left,Correct,0.0,0.0,-45,45,2004,767,-2.46
"{'cat': 'RB', 'resp': 'reach'}",42,24,Right,52.95754860270562,43.81330146573309,2.647877430135281,0.6882177300713099,Right,Correct,0.0,0.0,-45,45,2008,1158,-0.86
"{'cat': 'RB', 'resp': 'reach'}",42,25,Right,63.23734635675574,37.76281958902116,3.1618673178377867,0.5931769829985281,Right,Correct,0.0,0.0,-45,45,2008,917,-0.89
"{'cat': 'RB', 'resp': 'reach'}",42,26,Right,62.98223338370391,16.093767320802506,3.1491116691851953,0.2528003059180832,Right,Correct,0.0,0.0,-45,45,2004,796,-0.86
"{'cat': 'RB', 'resp': 'reach'}",42,27,Right,58.62670857096215,29.839357868371614,2.9313354285481075,0.46871553733556526,Right,Correct,0.0,0.0,-45,45,2004,1059,-0.84
"{'cat': 'RB', 'resp': 'reach'}",42,28,Left,36.75323142996213,42.69228884340543,1.8376615714981062,0.67060890497688,Left,Correct,0.0,0.0,-45,45,2004,816,-2.29
"{'cat': 'RB', 'resp': 'reach'}",42,29,Right,59.06603875277135,65.93518292035843,2.9533019376385674,1.0357074313784862,Right,Correct,0.0,0.0,-45,45,2004,1009,-0.74
"{'cat': 'RB', 'resp': 'reach'}",42,30,Left,46.66493983283205,36.22813910330355,2.333246991641602,0.5690702783008377,Right,Incorrect,0.0,0.0,-45,45,2004,1679,-0.74
"{'cat': 'RB', 'resp': 'reach'}",42,31,Right,59.36730802391585,19.351551404539617,2.9683654011957925,0.30397345864033454,Right,Correct,0.0,0.0,-45,45,2008,684,-0.76
"{'cat': 'RB', 'resp': 'reach'}",42,32,Left,34.6606265197574,34.15808496700164,1.7330313259878698,0.5365539439651416,Left,Correct,0.0,0.0,-45,45,2004,717,-2.38
"{'cat': 'RB', 'resp': 'reach'}",42,33,Left,38.53823630215379,31.150668220861515,1.9269118151076896,0.48931355218535794,Left,Correct,0.0,0.0,-45,45,2004,817,-2.31
"{'cat': 'RB', 'resp': 'reach'}",42,34,Right,55.45015116685878,31.2859291244593,2.772507558342939,0.49143822549066146,Right,Correct,0.0,0.0,-45,45,2004,1158,-0.79
"{'cat': 'RB', 'resp': 'reach'}",42,35,Left,39.10288897967194,70.14691934240672,1.955144448983597,1.1018652323903035,Left,Correct,0.0,0.0,-45,45,2004,1096,-2.48
"{'cat': 'RB', 'resp': 'reach'}",42,36,Right,59.60396406932205,75.869965193225,2.9801982034661028,1.191762626395745,Right,Correct,0.0,0.0,-45,45,2008,1833,-0.75
