condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",4000000000000000,0,Left,25.72738637238357,44.64717168806309,1.2863693186191785,0.7013161328939059,Right,Incorrect,0.0,0.0,-45,45,2012,14455,1.62
"{'cat': 'II', 'resp': 'reach'}",4000000000000000,1,Left,57.266494160400114,69.04470363200944,2.8633247080200057,1.0845516684980268,Right,Incorrect,0.0,0.0,-45,45,2003,5073,-0.81
"{'cat': 'II', 'resp': 'reach'}",4000000000000000,2,Right,58.247578791991565,41.994779415770914,2.9123789395995785,0.6596524525085488,Left,Incorrect,0.0,0.0,-45,45,2008,5486,-2.87
"{'cat': 'II', 'resp': 'reach'}",4000000000000000,3,Right,86.12535765170418,65.05995110059862,4.3062678825852085,1.0219593221027592,Right,Correct,0.0,0.0,-45,45,2001,591,-0.77
