condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",59999999999,0,Left,14.224809687019462,30.541829696502955,0.7112404843509731,0.47974993900862134,Right,Incorrect,0.0,0.0,-45,45,25561,-1,-1
"{'cat': 'II', 'resp': 'button'}",59999999999,1,Left,47.38157994927618,72.62655013564667,2.369078997463809,1.1408151818085919,Left,Correct,0.0,0.0,-45,45,7672,-1,-1
"{'cat': 'II', 'resp': 'button'}",59999999999,2,Left,54.364881342713204,80.96877271697949,2.71824406713566,1.2718545076892223,Right,Incorrect,0.0,0.0,-45,45,395188,-1,-1
"{'cat': 'II', 'resp': 'button'}",59999999999,3,Right,46.46417301365065,33.97022707750821,2.3232086506825325,0.5336030791373843,Left,Incorrect,0.0,0.0,-45,45,5438,-1,-1
"{'cat': 'II', 'resp': 'button'}",59999999999,4,Right,72.1847053831418,61.441413079267576,3.6092352691570904,0.9651194597800142,Right,Correct,0.0,0.0,-45,45,1921,-1,-1
