condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",36,0,Right,44.53060835013209,25.680322560470234,2.2265304175066047,0.40338556348894755,Right,Correct,0.0,0.0,-45,45,2004,988,-0.73
"{'cat': 'II', 'resp': 'reach'}",36,1,Right,47.54611169432698,34.77750826756517,2.377305584716349,0.5462838224177051,Right,Correct,0.0,0.0,-45,45,2004,1350,-0.83
"{'cat': 'II', 'resp': 'reach'}",36,2,Right,79.52620860083836,54.14320333906333,3.976310430041918,0.8504794492590986,Left,Incorrect,0.0,0.0,-45,45,2004,625,-2.42
"{'cat': 'II', 'resp': 'reach'}",36,3,Left,42.15483696285374,56.35694411442099,2.107741848142687,0.8852528080431777,Left,Correct,0.0,0.0,-45,45,2004,462,-2.45
"{'cat': 'II', 'resp': 'reach'}",36,4,Right,55.98675190607098,46.13082985278639,2.799337595303549,0.724621380847572,Right,Correct,0.0,0.0,-45,45,2008,571,-0.72
"{'cat': 'II', 'resp': 'reach'}",36,5,Right,69.3690757269258,39.93556057536311,3.46845378634629,0.6273063186027547,Right,Correct,0.0,0.0,-45,45,2013,604,-0.79
"{'cat': 'II', 'resp': 'reach'}",36,6,Right,60.918431462558054,30.845120899855573,3.045921573127903,0.48451402609037625,Left,Incorrect,0.0,0.0,-45,45,2013,467,-2.47
"{'cat': 'II', 'resp': 'reach'}",36,7,Left,43.08976526230446,70.13920546591898,2.154488263115223,1.1017440631017805,Left,Correct,0.0,0.0,-45,45,2004,421,-2.51
"{'cat': 'II', 'resp': 'reach'}",36,8,Right,34.72415052325729,21.36738849646826,1.7362075261628647,0.3356381536345187,Right,Correct,0.0,0.0,-45,45,2004,570,-0.73
"{'cat': 'II', 'resp': 'reach'}",36,9,Right,48.13719335224523,24.92669599963078,2.4068596676122613,0.3915476251535307,Right,Correct,0.0,0.0,-45,45,2012,517,-0.79
"{'cat': 'II', 'resp': 'reach'}",36,10,Right,61.4321420652805,53.431364340414014,3.071607103264025,0.8392979084156216,Left,Incorrect,0.0,0.0,-45,45,2004,525,-2.44
"{'cat': 'II', 'resp': 'reach'}",36,11,Left,61.195788144540465,70.39493601547395,3.059789407227023,1.1057610691806825,Left,Correct,0.0,0.0,-45,45,2013,483,-2.51
"{'cat': 'II', 'resp': 'reach'}",36,12,Left,56.992253700576526,85.91763967649877,2.849612685028826,1.3495911281073172,Right,Incorrect,0.0,0.0,-45,45,2004,604,-0.74
"{'cat': 'II', 'resp': 'reach'}",36,13,Left,49.92812772806911,73.38908106464206,2.4964063864034554,1.1527929896319264,Right,Incorrect,0.0,0.0,-45,45,2008,521,-0.83
"{'cat': 'II', 'resp': 'reach'}",36,14,Right,78.7834881767385,48.394669214114735,3.939174408836925,0.760181686379855,Right,Correct,0.0,0.0,-45,45,2008,742,-0.83
"{'cat': 'II', 'resp': 'reach'}",36,15,Right,68.16941299673994,45.54006522156142,3.408470649836997,0.715341671720287,Left,Incorrect,0.0,0.0,-45,45,2004,696,-2.44
"{'cat': 'II', 'resp': 'reach'}",36,16,Left,32.82205864946511,58.3923635105471,1.6411029324732556,0.9172251011523973,Right,Incorrect,0.0,0.0,-45,45,2005,570,-0.73
"{'cat': 'II', 'resp': 'reach'}",36,17,Left,28.16268877489564,45.40533378031032,1.408134438744782,0.7132253151900768,Right,Incorrect,0.0,0.0,-45,45,2004,504,-0.74
"{'cat': 'II', 'resp': 'reach'}",36,18,Right,46.96956011836762,24.251103649033873,2.348478005918381,0.3809354453262472,Right,Correct,0.0,0.0,-45,45,2004,2670,-0.75
"{'cat': 'II', 'resp': 'reach'}",36,19,Left,37.03242877179626,62.136372757062176,1.8516214385898133,0.9760358608715175,Left,Correct,0.0,0.0,-45,45,2017,762,-2.43
"{'cat': 'II', 'resp': 'reach'}",36,20,Left,36.54387999229828,53.830869082312745,1.827193999614914,0.8455733142267382,Left,Correct,0.0,0.0,-45,45,2004,575,-2.41
"{'cat': 'II', 'resp': 'reach'}",36,21,Left,35.73476775275654,47.06718506636655,1.7867383876378269,0.7393296141482418,Right,Incorrect,0.0,0.0,-45,45,2004,867,-0.8
"{'cat': 'II', 'resp': 'reach'}",36,22,Left,43.111061041989366,58.28374525172804,2.155553052099468,0.915518929532639,Right,Incorrect,0.0,0.0,-45,45,2004,537,-0.81
"{'cat': 'II', 'resp': 'reach'}",36,23,Left,38.278843227753164,49.852683984686905,1.9139421613876582,0.7830841288401296,Left,Correct,0.0,0.0,-45,45,2013,474,-2.24
"{'cat': 'II', 'resp': 'reach'}",36,24,Right,64.14212130339395,51.07463877881637,3.207106065169697,0.8022785498614093,Right,Correct,0.0,0.0,-45,45,2004,617,-0.78
"{'cat': 'II', 'resp': 'reach'}",36,25,Right,33.36543077265411,10.627840040276872,1.6682715386327056,0.16694172097030638,Right,Correct,0.0,0.0,-45,45,2005,504,-0.78
"{'cat': 'II', 'resp': 'reach'}",36,26,Right,54.85284439773133,29.312772822664336,2.7426422198865668,0.4604439587801441,Left,Incorrect,0.0,0.0,-45,45,2013,1412,-2.57
"{'cat': 'II', 'resp': 'reach'}",36,27,Left,44.767400182203176,66.19912958755761,2.2383700091101586,1.0398534959315486,Left,Correct,0.0,0.0,-45,45,2004,588,-2.6
"{'cat': 'II', 'resp': 'reach'}",36,28,Right,60.29690037163229,36.581573803864174,3.0148450185816147,0.5746220175948625,Right,Correct,0.0,0.0,-45,45,2004,475,-0.8
"{'cat': 'II', 'resp': 'reach'}",36,29,Right,61.14553258047782,48.16710863849804,3.057276629023891,0.7566071732168346,Right,Correct,0.0,0.0,-45,45,2008,534,-0.79
"{'cat': 'II', 'resp': 'reach'}",36,30,Right,52.964393435709965,32.66607489150216,2.648219671785498,0.513117504503786,Right,Correct,0.0,0.0,-45,45,2004,571,-0.79
