condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",5444444444444,0,Left,15.024628845372202,41.99057508278766,0.7512314422686102,0.6595864110004817,Right,Incorrect,0.0,0.0,-45,45,2008,21708,-0.8
"{'cat': 'II', 'resp': 'reach'}",5444444444444,1,Right,35.68484867973945,11.631723299177253,1.7842424339869725,0.18271068232642243,Left,Incorrect,0.0,0.0,-45,45,2008,3082,-2.47
"{'cat': 'II', 'resp': 'reach'}",5444444444444,2,Left,56.99847601368623,73.61916674029246,2.8499238006843113,1.156407166973524,Right,Incorrect,0.0,0.0,-45,45,2007,1913,-0.6
"{'cat': 'II', 'resp': 'reach'}",5444444444444,3,Right,43.45331704882465,22.63390860059785,2.1726658524412326,0.3555326049083052,Right,Correct,0.0,0.0,-45,45,2006,1181,-0.67
"{'cat': 'II', 'resp': 'reach'}",5444444444444,4,Left,24.275811846145416,48.60550033753649,1.2137905923072707,0.7634934139223042,Right,Incorrect,0.0,0.0,-45,45,2003,26992,-0.72
"{'cat': 'II', 'resp': 'reach'}",5444444444444,5,Right,52.192379338134515,23.701425554830994,2.6096189669067256,0.3723011220133122,Left,Incorrect,0.0,0.0,-45,45,2001,2889,-2.54
"{'cat': 'II', 'resp': 'reach'}",5444444444444,6,Right,44.39260485256725,34.14261996529482,2.2196302426283627,0.536311020286392,Right,Correct,0.0,0.0,-45,45,2009,1159,-0.78
"{'cat': 'II', 'resp': 'reach'}",5444444444444,7,Right,79.76715233351085,53.003149012000534,3.988357616675543,0.8325715177661297,Right,Correct,0.0,0.0,-45,45,2004,511,-0.85
