condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",28,0,Left,27.62890214519171,49.4480755250828,1.3814451072595855,0.7767285540187668,Right,Incorrect,0.0,0.0,-45,45,2004,4200,-0.78
"{'cat': 'II', 'resp': 'reach'}",28,1,Left,33.58622683728773,55.60876434930087,1.6793113418643868,0.8735004277748482,Right,Incorrect,0.0,0.0,-45,45,2004,4021,-0.68
"{'cat': 'II', 'resp': 'reach'}",28,2,Right,55.79405201902844,39.178099659448385,2.7897026009514216,0.615408150358659,Left,Incorrect,0.0,0.0,-45,45,2004,4529,-2.54
"{'cat': 'II', 'resp': 'reach'}",28,3,Right,78.04083493168437,50.48560450581431,3.9020417465842185,0.7930260211375298,Right,Correct,0.0,0.0,-45,45,2004,9471,-0.67
"{'cat': 'II', 'resp': 'reach'}",28,4,Left,38.15341869764058,59.56688376042882,1.907670934882029,0.9356744220950018,Left,Correct,0.0,0.0,-45,45,2013,3487,-2.63
"{'cat': 'II', 'resp': 'reach'}",28,5,Right,58.754738551473245,40.109268209674866,2.9377369275736624,0.630034911741886,Left,Incorrect,0.0,0.0,-45,45,2005,4762,-2.6
"{'cat': 'II', 'resp': 'reach'}",28,6,Left,13.714489094039273,31.02302614394504,0.6857244547019635,0.48730855512970905,Right,Incorrect,0.0,0.0,-45,45,2004,988,-0.81
"{'cat': 'II', 'resp': 'reach'}",28,7,Right,71.3024853043168,52.175107935537255,3.5651242652158404,0.8195646789526918,Right,Correct,0.0,0.0,-45,45,2004,1458,-0.77
"{'cat': 'II', 'resp': 'reach'}",28,8,Right,32.15090446474176,14.300628322270068,1.607545223237088,0.22463374439480888,Right,Correct,0.0,0.0,-45,45,2004,2792,-0.77
"{'cat': 'II', 'resp': 'reach'}",28,9,Right,32.80262450668312,19.35424694489957,1.6401312253341558,0.30401580008929596,Right,Correct,0.0,0.0,-45,45,2012,1450,-0.74
"{'cat': 'II', 'resp': 'reach'}",28,10,Left,27.439924733919767,57.63442361105666,1.3719962366959886,0.9053194090518886,Right,Incorrect,0.0,0.0,-45,45,2004,2908,-0.75
"{'cat': 'II', 'resp': 'reach'}",28,11,Right,67.09605824888423,43.70180931780877,3.3548029124442116,0.68646641550705,Right,Correct,0.0,0.0,-45,45,2005,8849,-0.74
"{'cat': 'II', 'resp': 'reach'}",28,12,Left,51.213940464857984,66.63254939158412,2.560697023242899,1.0466616382927987,Right,Incorrect,0.0,0.0,-45,45,2008,2458,-0.75
"{'cat': 'II', 'resp': 'reach'}",28,13,Left,58.919847662407676,69.13233241381664,2.945992383120384,1.0859281381838695,Left,Correct,0.0,0.0,-45,45,2017,7291,-2.59
"{'cat': 'II', 'resp': 'reach'}",28,14,Left,33.16372643610967,58.93196111319136,1.6581863218054835,0.9257010804742067,Right,Incorrect,0.0,0.0,-45,45,2009,8079,-0.75
"{'cat': 'II', 'resp': 'reach'}",28,15,Right,64.94300852595846,46.33568175721742,3.247150426297923,0.7278391870377443,Right,Correct,0.0,0.0,-45,45,2004,2458,-0.79
"{'cat': 'II', 'resp': 'reach'}",28,16,Right,60.82759660282801,33.03402214895274,3.0413798301414006,0.5188972065083621,Left,Incorrect,0.0,0.0,-45,45,2012,2438,-2.5
"{'cat': 'II', 'resp': 'reach'}",28,17,Left,24.319128188601965,51.61606331702924,1.2159564094300983,0.8107832266200233,Right,Incorrect,0.0,0.0,-45,45,2004,1230,-0.84
"{'cat': 'II', 'resp': 'reach'}",28,18,Left,60.74376838203358,81.29936696595453,3.037188419101679,1.2770474700087175,Right,Incorrect,0.0,0.0,-45,45,2004,3967,-0.94
"{'cat': 'II', 'resp': 'reach'}",28,19,Left,18.79687481159057,48.23384113348979,0.9398437405795285,0.7576554047969435,Left,Correct,0.0,0.0,-45,45,2017,2766,-2.54
"{'cat': 'II', 'resp': 'reach'}",28,20,Left,49.83583039195749,60.219733553609935,2.491791519597874,0.9459293626657787,Left,Correct,0.0,0.0,-45,45,2008,1679,-2.55
"{'cat': 'II', 'resp': 'reach'}",28,21,Left,38.80746304140364,45.935961307842355,1.9403731520701823,0.7215603929015126,Right,Incorrect,0.0,0.0,-45,45,2009,24678,-0.46
