condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",43,0,Left,28.901146842333944,39.411250182240366,1.4450573421166972,0.6190704702065787,Right,Incorrect,0.0,0.0,-45,45,3128,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,1,Right,51.70487113474153,33.399256303776696,2.5852435567370766,0.5246342911965374,Right,Correct,0.0,0.0,-45,45,1234,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,2,Left,29.169459314784525,45.351447893375514,1.4584729657392261,0.7123788776574441,Right,Incorrect,0.0,0.0,-45,45,831,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,3,Left,34.08302232368376,44.887347971933345,1.704151116184188,0.7050888131387726,Right,Incorrect,0.0,0.0,-45,45,1283,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,4,Left,50.27880828118143,80.5346701869074,2.5139404140590718,1.2650356410923262,Right,Incorrect,0.0,0.0,-45,45,1358,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,5,Right,81.50960817656753,63.82010324001915,4.075480408828376,1.0024838374509317,Left,Incorrect,0.0,0.0,-45,45,943,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,6,Right,48.72869794451578,34.539398076392814,2.436434897225789,0.5425435962810454,Right,Correct,0.0,0.0,-45,45,796,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,7,Left,44.146668196473264,57.58721703349772,2.207333409823663,0.9045778898655873,Right,Incorrect,0.0,0.0,-45,45,1395,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,8,Left,67.88215527313116,87.97531783426994,3.394107763656558,1.381913061026848,Left,Correct,0.0,0.0,-45,45,1380,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,9,Right,76.0721393482059,46.584231072360524,3.803606967410295,0.7317433905502859,Left,Incorrect,0.0,0.0,-45,45,1312,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,10,Right,61.651462938512076,29.906145373508338,3.0825731469256037,0.46976463301301086,Left,Incorrect,0.0,0.0,-45,45,1547,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,11,Left,29.21179169239319,43.10101650300231,1.4605895846196597,0.6770291840404224,Right,Incorrect,0.0,0.0,-45,45,1219,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,12,Right,55.70374517843871,30.66132553638815,2.785187258921935,0.4816269752722107,Right,Correct,0.0,0.0,-45,45,1748,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,13,Right,84.57348300168582,61.82214444402503,4.228674150084291,0.9710999740725803,Right,Correct,0.0,0.0,-45,45,1793,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,14,Left,12.018191058798102,33.084645281522754,0.6009095529399051,0.5196923928152805,Left,Correct,0.0,0.0,-45,45,2141,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,15,Left,42.08498517322251,73.60105870819994,2.1042492586611257,1.15612272667056,Right,Incorrect,0.0,0.0,-45,45,2016,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,16,Left,27.59149362037396,42.4669380511006,1.3795746810186982,0.6670691030089524,Right,Incorrect,0.0,0.0,-45,45,2807,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,17,Right,37.825224986882716,22.798454008369884,1.8912612493441359,0.35811727812949806,Left,Incorrect,0.0,0.0,-45,45,2459,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,18,Left,61.801073136983774,74.6275471437577,3.0900536568491885,1.1722467693112755,Left,Correct,0.0,0.0,-45,45,4137,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,19,Right,58.63924020646309,44.78796854163625,2.9319620103231547,0.703527764698076,Left,Incorrect,0.0,0.0,-45,45,939,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,20,Right,87.84869318320365,69.54981374514867,4.392434659160182,1.0924859196014873,Right,Correct,0.0,0.0,-45,45,4735,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,21,Right,63.228799677246954,37.96458503075185,3.1614399838623477,0.5963463071459751,Right,Correct,0.0,0.0,-45,45,1044,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,22,Right,48.923506262814634,25.307715940823208,2.4461753131407318,0.3975326723941375,Left,Incorrect,0.0,0.0,-45,45,1143,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,23,Right,62.504133887813424,44.847597581371794,3.125206694390671,0.704464415463945,Right,Correct,0.0,0.0,-45,45,799,-1,-1
"{'cat': 'II', 'resp': 'button'}",43,24,Left,65.0960480391235,80.711411442001,3.254802401956175,1.2678118862352674,Right,Incorrect,0.0,0.0,-45,45,1074,-1,-1
