condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'button'}",37,0,Right,53.01449560339355,58.7216198903073,2.6507247801696776,0.9223970482714084,Right,Correct,0.0,0.0,-45,45,8258,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,1,Right,54.81781430777173,50.957228255874405,2.7408907153885864,0.8004342696797663,Left,Incorrect,0.0,0.0,-45,45,4790,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,2,Left,31.722218308477707,44.550717544619644,1.5861109154238853,0.6998010347516549,Right,Incorrect,0.0,0.0,-45,45,7808,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,3,Left,39.287873825146875,27.55733666448102,1.9643936912573436,0.43286963208817114,Right,Incorrect,0.0,0.0,-45,45,5733,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,4,Right,58.18470979006453,77.6106569693191,2.909235489503226,1.2191053488754517,Left,Incorrect,0.0,0.0,-45,45,6264,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,5,Left,38.21931904037631,11.005001144880197,1.9109659520188158,0.17286615374751446,Left,Correct,0.0,0.0,-45,45,2309,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,6,Right,62.78254245716287,17.725024290165635,3.1391271228581434,0.27842403047342495,Left,Incorrect,0.0,0.0,-45,45,2544,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,7,Left,36.3642688142113,50.72075746544799,1.818213440710565,0.7967197951898053,Right,Incorrect,0.0,0.0,-45,45,4193,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,8,Left,43.752672743334216,61.98357339051406,2.187633637166711,0.9736356940344137,Right,Incorrect,0.0,0.0,-45,45,2079,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,9,Left,41.02448741009168,41.071021310095276,2.0512243705045843,0.6451420941161258,Left,Correct,0.0,0.0,-45,45,5762,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,10,Right,62.392717548846036,53.19849068304485,3.1196358774423016,0.8356399375595936,Left,Incorrect,0.0,0.0,-45,45,2838,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,11,Left,49.023933327103464,50.257648436699235,2.451196666355173,0.7894452955771644,Right,Incorrect,0.0,0.0,-45,45,2936,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,12,Left,45.610192512232075,63.882490224057804,2.2805096256116038,1.003463809904609,Left,Correct,0.0,0.0,-45,45,2278,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,13,Right,52.4745577996538,37.28942768633528,2.6237278899826904,0.5857409603797937,Right,Correct,0.0,0.0,-45,45,2523,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,14,Left,36.089442970500144,31.40216788794075,1.8044721485250073,0.4932640997177398,Left,Correct,0.0,0.0,-45,45,2036,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,15,Right,64.88502684425332,35.23876228137743,3.244251342212666,0.5535291835238622,Right,Correct,0.0,0.0,-45,45,1346,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,16,Right,62.728437265405994,30.923842111397203,3.1364218632702996,0.4857505759896807,Right,Correct,0.0,0.0,-45,45,1087,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,17,Right,58.83180961202734,17.174365376583943,2.941590480601367,0.2697743004857151,Right,Correct,0.0,0.0,-45,45,1132,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,18,Right,52.58044692130893,61.4570799206938,2.6290223460654465,0.9653655539496623,Left,Incorrect,0.0,0.0,-45,45,2902,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,19,Left,36.988110837163966,52.14565395550725,1.8494055418581983,0.8191020169162855,Left,Correct,0.0,0.0,-45,45,1166,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,20,Right,66.5135089610243,46.23720932115285,3.3256754480512147,0.7262923856291364,Right,Correct,0.0,0.0,-45,45,934,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,21,Right,54.65063166482936,63.1084101788079,2.732531583241468,0.9913045889873712,Right,Correct,0.0,0.0,-45,45,1074,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,22,Right,62.92453210497888,54.29971073911946,3.146226605248944,0.8529378617503426,Right,Correct,0.0,0.0,-45,45,801,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,23,Left,44.558122768922104,68.554439121454,2.227906138446105,1.076850611574643,Left,Correct,0.0,0.0,-45,45,1675,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,24,Left,41.163365367258955,45.63558679470416,2.0581682683629476,0.7168421210825099,Left,Correct,0.0,0.0,-45,45,871,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,25,Right,54.6048706187692,58.94267612154591,2.73024353093846,0.9258693914318558,Right,Correct,0.0,0.0,-45,45,1039,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,26,Right,58.76444011291108,44.99772301585622,2.9382220056455544,0.7068225802744111,Right,Correct,0.0,0.0,-45,45,860,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,27,Right,62.29444448711083,86.68942134437775,3.1147222243555417,1.361714246197237,Right,Correct,0.0,0.0,-45,45,2964,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,28,Left,40.519208967622156,63.2278794604661,2.025960448381108,0.9931812080753063,Left,Correct,0.0,0.0,-45,45,813,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,29,Right,53.701646138919,66.02946413505786,2.68508230694595,1.0371883972358427,Right,Correct,0.0,0.0,-45,45,652,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,30,Left,34.87203841218818,81.4784341409045,1.743601920609409,1.2798602506153267,Left,Correct,0.0,0.0,-45,45,793,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,31,Right,63.21393282663665,62.527210625725616,3.1606966413318327,0.9821751277562062,Right,Correct,0.0,0.0,-45,45,1866,-1,-1
"{'cat': 'RB', 'resp': 'button'}",37,32,Right,66.35818982539071,26.801885678075937,3.3179094912695355,0.4210030357429843,Right,Correct,0.0,0.0,-45,45,970,-1,-1
