condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",10000900,0,Left,44.89565259347892,53.716376028282454,2.244782629673946,0.8437748615395951,Left,Correct,0.0,0.0,-45,45,2013,531,-2.47
"{'cat': 'II', 'resp': 'reach'}",10000900,1,Left,11.642041317514714,37.10049152615055,0.5821020658757357,0.5827731581156246,Left,Correct,0.0,0.0,-45,45,2008,600,-1.58
"{'cat': 'II', 'resp': 'reach'}",10000900,2,Left,29.01118171822554,49.14607255312279,1.450559085911277,0.7719847024284076,Right,Incorrect,0.0,0.0,-45,45,2008,731,-0.79
"{'cat': 'II', 'resp': 'reach'}",10000900,3,Left,45.67644222348982,69.69746609178043,2.283822111174491,1.0948052372388055,Left,Correct,0.0,0.0,-45,45,2008,615,-2.36
