condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",51,0,Right,46.0165361651746,21.183530085249732,2.30082680825873,0.3327501124645946,Right,Correct,0.0,0.0,-45,45,3148,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,1,Left,25.535809116941778,43.638851661349705,1.2767904558470888,0.6854774789519549,Right,Incorrect,0.0,0.0,-45,45,952,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,2,Right,48.674996502260434,30.962886379635066,2.4337498251130216,0.48636388192098495,Right,Correct,0.0,0.0,-45,45,1264,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,3,Left,23.364310952140116,54.45372002657926,1.1682155476070057,0.8553570339806841,Left,Correct,0.0,0.0,-45,45,1509,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,4,Left,25.62305459344712,45.57290624160919,1.281152729672356,0.7158575372568794,Left,Correct,0.0,0.0,-45,45,978,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,5,Right,70.41568858864109,42.126436545608435,3.5207844294320547,0.6617205178680001,Left,Incorrect,0.0,0.0,-45,45,1553,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,6,Right,57.33813470520561,28.77232297799962,2.8669067352602804,0.451954592471982,Left,Incorrect,0.0,0.0,-45,45,1718,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,7,Left,67.35646196493263,84.5688292072582,3.3678230982466317,1.3284040628010616,Right,Incorrect,0.0,0.0,-45,45,1100,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,8,Left,11.330757182751018,35.76955966081408,0.5665378591375508,0.5618669292627767,Right,Incorrect,0.0,0.0,-45,45,1728,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,9,Left,47.1304175730457,67.97457068740071,2.356520878652285,1.0677420595122908,Right,Incorrect,0.0,0.0,-45,45,4054,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,10,Right,39.584213637692045,19.653336456092635,1.9792106818846023,0.3087138871449454,Right,Correct,0.0,0.0,-45,45,2575,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,11,Right,66.41302688615527,50.10790901090148,3.320651344307763,0.7870931941769694,Left,Incorrect,0.0,0.0,-45,45,1134,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,12,Left,36.21043028102618,46.028295943686196,1.8105215140513087,0.7230107819697071,Right,Incorrect,0.0,0.0,-45,45,2777,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,13,Right,72.77520792288496,51.81159142052531,3.638760396144248,0.8138545748875915,Right,Correct,0.0,0.0,-45,45,3563,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,14,Right,54.28231988594035,26.836151131733246,2.7141159942970177,0.4215412762303929,Right,Correct,0.0,0.0,-45,45,1419,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,15,Right,78.67558976803127,64.80707570033157,3.9337794884015636,1.0179871646039962,Left,Incorrect,0.0,0.0,-45,45,1424,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,16,Right,44.283201627696435,18.508911341148853,2.2141600813848217,0.2907372994764902,Right,Correct,0.0,0.0,-45,45,3521,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,17,Right,79.70156664657151,64.53549405041534,3.9850783323285754,1.0137211700228632,Right,Correct,0.0,0.0,-45,45,1711,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,18,Right,74.12415214254254,47.50128208438759,3.706207607127127,0.7461483941620426,Left,Incorrect,0.0,0.0,-45,45,2375,-1,-1
"{'cat': 'II', 'resp': 'button'}",51,19,Left,10.17292511329278,32.11511856772009,0.508646255664639,0.5044631028075729,Left,Correct,0.0,0.0,-45,45,1031,-1,-1
