condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'reach'}",38,0,Left,46.11297805567284,33.5384121879496,2.305648902783642,0.5268201467136443,Right,Incorrect,0.0,0.0,-45,45,2012,2731,-0.85
"{'cat': 'RB', 'resp': 'reach'}",38,1,Right,61.697118840638296,25.27511544141976,3.0848559420319144,0.39702058494699133,Left,Incorrect,0.0,0.0,-45,45,2013,4343,-2.59
"{'cat': 'RB', 'resp': 'reach'}",38,2,Right,62.858675003439124,42.68910752493185,3.1429337501719563,0.6705589329431533,Right,Correct,0.0,0.0,-45,45,2006,7598,-0.93
"{'cat': 'RB', 'resp': 'reach'}",38,3,Right,68.07214874643279,39.88287896411299,3.4036074373216394,0.6264787977883413,Right,Correct,0.0,0.0,-45,45,2005,3529,-0.95
"{'cat': 'RB', 'resp': 'reach'}",38,4,Left,47.9844601496915,71.56820598305093,2.399223007484575,1.1241907507347695,Right,Incorrect,0.0,0.0,-45,45,2007,5014,-0.94
"{'cat': 'RB', 'resp': 'reach'}",38,5,Left,36.289189176132375,81.27076731058615,1.8144594588066187,1.276598227672715,Right,Incorrect,0.0,0.0,-45,45,2004,8003,-0.89
"{'cat': 'RB', 'resp': 'reach'}",38,6,Right,58.02667233362433,73.33047887810548,2.9013336166812165,1.1518724686383883,Right,Correct,0.0,0.0,-45,45,2005,4883,-0.96
"{'cat': 'RB', 'resp': 'reach'}",38,7,Left,40.32312553291829,87.80927372517372,2.0161562766459142,1.3793048462603053,Right,Incorrect,0.0,0.0,-45,45,2005,2771,-0.91
"{'cat': 'RB', 'resp': 'reach'}",38,8,Left,36.34871068169832,71.96361246146182,1.817435534084916,1.1304017811735567,Right,Incorrect,0.0,0.0,-45,45,2002,2065,-0.97
"{'cat': 'RB', 'resp': 'reach'}",38,9,Right,53.97965085081547,62.22843517683365,2.6989825425407736,0.9774819739796462,Right,Correct,0.0,0.0,-45,45,2002,6042,-0.93
"{'cat': 'RB', 'resp': 'reach'}",38,10,Left,32.808539986919946,42.82759658828746,1.6404269993459974,0.6727343140633559,Left,Correct,0.0,0.0,-45,45,2010,2516,-2.58
