condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",244444444,0,Right,60.303261880340074,33.34669193135306,3.0151630940170038,0.5238086119653039,Right,Correct,0.0,0.0,-45,45,2004,22133,1.94
"{'cat': 'II', 'resp': 'reach'}",244444444,1,Right,55.27195851621125,35.08036973657245,2.7635979258105623,0.5510411592481486,Right,Correct,0.0,0.0,-45,45,2001,10525,-1.34
"{'cat': 'II', 'resp': 'reach'}",244444444,2,Right,56.78544115046884,27.741531271826084,2.8392720575234422,0.4357629542145017,Left,Incorrect,0.0,0.0,-45,45,2005,2101,-2.57
"{'cat': 'II', 'resp': 'reach'}",244444444,3,Left,21.242555781932747,36.493492394194135,1.0621277890966374,0.5732384380471764,Right,Incorrect,0.0,0.0,-45,45,2001,2791,-1.04
"{'cat': 'II', 'resp': 'reach'}",244444444,4,Right,52.94773892839953,40.86605284730939,2.6473869464199766,0.6419224570315971,Right,Correct,0.0,0.0,-45,45,2012,966,-0.97
