condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",24,204,Left,65.55590388234238,84.99464757842696,3.2777951941171186,1.3350928021341981,Right,Incorrect,0.0,0.0,-45,45,2005,1422,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,205,Left,24.019423079549064,34.941074460290764,1.200971153977453,0.548853114164917,Left,Correct,0.0,0.0,-45,45,2004,892,-2.27
"{'cat': 'II', 'resp': 'reach'}",24,206,Right,63.32096075088096,43.311805917423264,3.166048037544048,0.6803402564194193,Right,Correct,0.0,0.0,-45,45,2002,907,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,207,Right,43.66128633916735,20.129546627645773,2.1830643169583674,0.3161941790275258,Left,Incorrect,0.0,0.0,-45,45,2012,2241,-2.38
"{'cat': 'II', 'resp': 'reach'}",24,208,Right,55.517789697636694,24.573088607409414,2.7758894848818345,0.38599317322524224,Right,Correct,0.0,0.0,-45,45,2004,863,-0.88
"{'cat': 'II', 'resp': 'reach'}",24,209,Left,30.034088069576768,42.52700567798537,1.5017044034788385,0.6680126430856512,Left,Correct,0.0,0.0,-45,45,2003,1195,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,210,Right,68.7546065659094,47.112782196429734,3.43773032829547,0.7400458521923983,Right,Correct,0.0,0.0,-45,45,2009,801,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,211,Right,52.80162707746153,25.84047476224087,2.640081353873077,0.4059012283916419,Right,Correct,0.0,0.0,-45,45,2011,1998,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,212,Right,54.194663799639365,25.658558244638357,2.7097331899819683,0.4030436904153083,Right,Correct,0.0,0.0,-45,45,2003,1767,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,213,Right,61.815064366130485,47.89689856507569,3.0907532183065247,0.7523627233088864,Right,Correct,0.0,0.0,-45,45,2007,2511,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,214,Right,84.89355867147404,60.357688796307656,4.244677933573701,0.9480963585506954,Right,Correct,0.0,0.0,-45,45,2006,1061,-0.87
"{'cat': 'II', 'resp': 'reach'}",24,215,Left,28.01072940657012,51.27172388311848,1.4005364703285061,0.8053743554404469,Left,Correct,0.0,0.0,-45,45,2012,814,-2.48
"{'cat': 'II', 'resp': 'reach'}",24,216,Left,39.98789692897228,62.70307036141963,1.999394846448614,0.984937526024799,Left,Correct,0.0,0.0,-45,45,2008,1177,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,217,Right,44.552841414399836,28.166969544876792,2.227642070719992,0.4424457229803619,Right,Correct,0.0,0.0,-45,45,2006,1844,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,218,Right,66.3687622554686,40.6933344989359,3.3184381127734297,0.6392094035596454,Right,Correct,0.0,0.0,-45,45,2004,895,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,219,Left,20.840737615411374,40.31195763734273,1.0420368807705687,0.6332187498264943,Left,Correct,0.0,0.0,-45,45,2007,949,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,220,Left,53.350140269476434,80.4410964730175,2.6675070134738217,1.263565788631698,Left,Correct,0.0,0.0,-45,45,2005,1779,-2.35
"{'cat': 'II', 'resp': 'reach'}",24,221,Right,65.40091978888007,35.968414495708366,3.2700459894440037,0.5649905337049501,Right,Correct,0.0,0.0,-45,45,2009,963,-0.86
"{'cat': 'II', 'resp': 'reach'}",24,222,Left,18.522202275127004,47.16938395005511,0.9261101137563501,0.7409349504592472,Left,Correct,0.0,0.0,-45,45,2005,977,-2.28
"{'cat': 'II', 'resp': 'reach'}",24,223,Left,29.548119719562507,56.621627876859286,1.4774059859781254,0.8894104508611809,Left,Correct,0.0,0.0,-45,45,2005,1138,-2.33
"{'cat': 'II', 'resp': 'reach'}",24,224,Left,17.260685586644133,31.64347822212086,0.8630342793322066,0.4970545935832175,Left,Correct,0.0,0.0,-45,45,2003,915,-2.41
"{'cat': 'II', 'resp': 'reach'}",24,225,Left,58.24564729001612,67.77397654120489,2.912282364500806,1.0645911340320813,Right,Incorrect,0.0,0.0,-45,45,2002,2576,-0.78
"{'cat': 'II', 'resp': 'reach'}",24,226,Left,29.98861001575969,48.41309961803307,1.4994305007879845,0.7604711904876177,Left,Correct,0.0,0.0,-45,45,2007,903,-2.31
"{'cat': 'II', 'resp': 'reach'}",24,227,Right,59.525940610978694,28.249821961871262,2.9762970305489347,0.4437471657031718,Right,Correct,0.0,0.0,-45,45,2002,886,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,228,Left,37.47985845679475,59.99927234320965,1.8739929228397374,0.9424663660708035,Left,Correct,0.0,0.0,-45,45,2006,972,-2.44
"{'cat': 'II', 'resp': 'reach'}",24,229,Right,43.987510444518385,22.88165282124107,2.1993755222259193,0.35942416202601557,Right,Correct,0.0,0.0,-45,45,2003,3036,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,230,Right,65.95859956390748,54.57880078416562,3.297929978195374,0.8573217979263776,Right,Correct,0.0,0.0,-45,45,2002,805,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,231,Right,47.16095639130609,39.156994790733556,2.3580478195653045,0.6150766358561117,Right,Correct,0.0,0.0,-45,45,2008,1843,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,232,Right,41.16096186918527,17.761858869967032,2.0580480934592633,0.2790026266999357,Left,Incorrect,0.0,0.0,-45,45,2008,1386,-2.39
"{'cat': 'II', 'resp': 'reach'}",24,233,Left,64.15259062679847,89.18539376810536,3.207629531339924,1.4009208893469633,Right,Incorrect,0.0,0.0,-45,45,2001,4128,-0.85
"{'cat': 'II', 'resp': 'reach'}",24,234,Left,17.28946841255256,37.6396605909676,0.864473420627628,0.5912424059809853,Left,Correct,0.0,0.0,-45,45,2009,893,-2.25
"{'cat': 'II', 'resp': 'reach'}",24,235,Left,26.12880818009144,53.539460920279204,1.3064404090045718,0.8409958855215347,Left,Correct,0.0,0.0,-45,45,2009,924,-2.41
"{'cat': 'II', 'resp': 'reach'}",24,236,Right,62.213641939335,45.10229667654571,3.11068209696675,0.7084652194953168,Right,Correct,0.0,0.0,-45,45,2009,1263,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,237,Left,51.14040896879193,69.31572653133131,2.557020448439596,1.0888088862453478,Left,Correct,0.0,0.0,-45,45,2001,1303,-2.4
"{'cat': 'II', 'resp': 'reach'}",24,238,Left,27.922535860820823,47.219418909585855,1.3961267930410413,0.7417208977656694,Left,Correct,0.0,0.0,-45,45,2005,1146,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,239,Right,65.35159516153176,39.66229045287293,3.2675797580765877,0.6230138015564509,Right,Correct,0.0,0.0,-45,45,2006,967,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,240,Right,77.62871177061233,56.75091027268304,3.881435588530616,0.8914412139859729,Right,Correct,0.0,0.0,-45,45,2002,908,-0.85
"{'cat': 'II', 'resp': 'reach'}",24,241,Right,68.57570684097084,46.65982623933767,3.428785342048542,0.7329308366563976,Right,Correct,0.0,0.0,-45,45,2008,954,-0.82
"{'cat': 'II', 'resp': 'reach'}",24,242,Right,65.9897834611207,33.952161974404724,3.2994891730560347,0.533319313161403,Right,Correct,0.0,0.0,-45,45,2008,967,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,243,Right,43.514724411019216,15.69538353408689,2.1757362205509607,0.24654250802980787,Right,Correct,0.0,0.0,-45,45,2009,1834,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,244,Right,52.14706421215857,20.817879136668516,2.6073532106079282,0.3270064807953902,Right,Correct,0.0,0.0,-45,45,2013,2286,-0.78
"{'cat': 'II', 'resp': 'reach'}",24,245,Right,40.03152896697486,26.33865908626765,2.001576448348743,0.41372668945412255,Right,Correct,0.0,0.0,-45,45,2005,3765,-0.77
"{'cat': 'II', 'resp': 'reach'}",24,246,Left,54.45641322160471,68.4314574000372,2.722820661080236,1.074918819211999,Right,Incorrect,0.0,0.0,-45,45,2003,2901,-0.82
"{'cat': 'II', 'resp': 'reach'}",24,247,Right,44.54565225951522,30.800579365313883,2.2272826129757615,0.4838143693018973,Left,Incorrect,0.0,0.0,-45,45,2006,1909,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,248,Left,37.64359213646677,69.37731608597558,1.8821796068233385,1.0897763327073893,Left,Correct,0.0,0.0,-45,45,2006,1232,-2.32
"{'cat': 'II', 'resp': 'reach'}",24,249,Left,35.02018196309412,53.44205912332656,1.7510090981547057,0.8394659016727704,Left,Correct,0.0,0.0,-45,45,2001,1041,-2.47
