condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'button'}",73,0,Right,58.73598865231184,55.01544433574771,2.936799432615592,0.8641805787958159,Right,Correct,0.0,0.0,-45,45,3069,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,1,Left,36.011212205860915,15.291078857547298,1.8005606102930458,0.24019170502166398,Right,Incorrect,0.0,0.0,-45,45,3495,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,2,Right,59.31132962175397,74.167791446595,2.965566481087699,1.1650249437080138,Right,Correct,0.0,0.0,-45,45,2343,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,3,Right,60.04897943836242,22.268956755787528,3.0024489719181213,0.34979995473545444,Right,Correct,0.0,0.0,-45,45,1074,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,4,Left,43.78924297614379,75.28237486569319,2.1894621488071895,1.182532779114273,Left,Correct,0.0,0.0,-45,45,981,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,5,Right,67.34138029406391,39.47551492276858,3.367069014703196,0.6200799383902201,Right,Correct,0.0,0.0,-45,45,1324,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,6,Left,40.601711008468726,18.45457841935719,2.0300855504234363,0.28988383993674643,Left,Correct,0.0,0.0,-45,45,566,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,7,Right,66.16681853992873,73.73609541151245,3.3083409269964363,1.1582438782460178,Right,Correct,0.0,0.0,-45,45,992,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,8,Left,48.80273017040321,52.76795306992484,2.4401365085201605,0.8288770685472343,Left,Correct,0.0,0.0,-45,45,938,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,9,Right,66.10837608626281,76.63858548981209,3.3054188043131405,1.203836085781535,Right,Correct,0.0,0.0,-45,45,968,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,10,Right,61.575690916159864,41.029815308932754,3.078784545807993,0.6444948317634459,Right,Correct,0.0,0.0,-45,45,918,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,11,Left,37.549961695064724,60.85708135495108,1.877498084753236,0.9559407985181535,Left,Correct,0.0,0.0,-45,45,684,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,12,Right,59.39482613379974,39.46743431504663,2.9697413066899867,0.619953008500941,Right,Correct,0.0,0.0,-45,45,599,-1,-1
"{'cat': 'RB', 'resp': 'button'}",73,13,Left,37.11162015951803,48.681336305283075,1.8555810079759016,0.7646846425180568,Left,Correct,0.0,0.0,-45,45,827,-1,-1
