condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",45555555555555555555,0,Right,69.2844901484709,49.78142975087883,3.464224507423545,0.7819648699527865,Right,Correct,0.0,0.0,-45,45,29574,-1,-1
"{'cat': 'II', 'resp': 'button'}",45555555555555555555,1,Left,30.808142703906825,48.84142949906545,1.540407135195341,0.7671993805254391,Left,Correct,0.0,0.0,-45,45,4756,-1,-1
"{'cat': 'II', 'resp': 'button'}",45555555555555555555,2,Left,29.249013923611017,43.71990795452123,1.4624506961805508,0.6867507082277294,Right,Incorrect,0.0,0.0,-45,45,1845,-1,-1
