condition,subject,trial,state,t,xx,yy
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7093.0,108.35910912756077,1079.994291340805
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7104.0,108.36252807966844,1079.995389159881
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7115.0,108.36299166639478,1079.990520009391
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7127.0,108.36200654460114,1079.9922765199126
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7138.0,108.36183269957871,1079.9897838248341
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7148.0,108.36264397634991,1079.9855217037157
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7160.0,108.36588908343494,1079.984191405306
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7170.0,108.36380294316598,1079.9787023099261
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7180.0,108.36525165168617,1079.9724511989523
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7192.0,108.36310756307647,1079.9757317406618
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7202.0,108.36878650047531,1079.972657847249
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7213.0,108.3705249506994,1079.9700359969852
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7225.0,108.37035110567697,1079.9682665709452
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7235.0,108.37006136397285,1079.9649472826802
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7246.0,108.3705249506994,1079.9636169842704
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7256.0,108.3718577625379,1079.962338347935
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7266.0,108.3730746776947,1079.9528712728445
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7278.0,108.37290083267249,1079.9607497391544
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7288.0,108.37394390280686,1079.954937755811
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7298.0,108.37377005778443,1079.956397209406
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7309.0,108.37388595446612,1079.9581408044091
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7320.0,108.37324852271713,1079.9573787888153
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7330.0,108.37585619805338,1079.9541369936615
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7340.0,108.37603004307582,1079.9494744914682
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7352.0,108.37985463356887,1079.948299179281
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7363.0,108.38176692881561,1079.9509081140263
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7373.0,108.3809556520442,1079.9480666999473
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7385.0,108.3809556520442,1079.9441274667922
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7396.0,108.38263615392755,1079.9437270857177
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7406.0,108.38651869276156,1079.9390258369685
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7416.0,108.38808329796322,1079.940033247415
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7427.0,108.38761971123688,1079.9358486194076
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7438.0,108.38889457473442,1079.9391162455984
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7448.0,108.38941610980172,1079.9385221317455
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7459.0,108.39190788845627,1079.9347895468873
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7470.0,108.41155237598905,1079.3994800499247
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7481.0,108.43733938764721,1078.7623316892675
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7493.0,108.45750541024728,1078.1452927909786
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7504.0,108.46584997132311,1077.7074179658882
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7515.0,108.44991417760191,1076.9951142028417
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7526.0,108.40257038316444,1076.4042421451165
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7536.0,108.20427116093072,1075.3073142399237
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7547.0,107.93591239466416,1074.5157221085549
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7557.0,107.52592788347101,1073.6607922742621
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7568.0,107.28833968617174,1073.2395138904967
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7579.0,107.25971320581415,1073.204112454176
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7590.0,107.25490349352746,1073.2047840611403
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7600.0,107.25890192904295,1073.1999924037616
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7611.0,107.25664194375156,1073.192669304749
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7621.0,107.25797475559006,1073.1908740476717
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7631.0,107.25716347881885,1073.1915844011917
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7642.0,107.25971320581415,1073.190809470079
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7652.0,107.26371164132964,1073.1875289283698
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7663.0,107.26469676312348,1073.1805028862834
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7673.0,107.26660905837001,1073.176692808314
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7683.0,107.26759418016364,1073.1725081803067
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7694.0,107.2679418702085,1073.170054231784
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7705.0,107.26898494034288,1073.1715653474532
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7715.0,107.26956442375091,1073.1695376110424
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7726.0,107.27147671899743,1073.1693567937828
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7737.0,107.2704915972038,1073.1667478590375
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7747.0,107.2722300474279,1073.1616978912882
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7757.0,107.27675001801067,1073.160070535952
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7768.0,107.27350491092565,1073.158068630578
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7779.0,107.27309927254005,1073.1612845946947
"{'cat': 'II', 'resp': 'reach'}",248888888888,0,state_init,7789.0,107.27593874123947,1073.1558084148335
