condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",28888888888,0,Right,54.53201051781333,33.11454295197434,2.7266005258906665,0.5201620243245313,Right,Correct,0.0,0.0,-45,45,2012,15591,1.14
"{'cat': 'II', 'resp': 'reach'}",28888888888,1,Right,34.27277208803774,10.98952849958765,1.7136386044018872,0.1726231100036011,Right,Correct,0.0,0.0,-45,45,2001,5855,-0.97
"{'cat': 'II', 'resp': 'reach'}",28888888888,2,Right,43.811726609067755,24.368348877868833,2.190586330453388,0.382777129074129,Left,Incorrect,0.0,0.0,-45,45,2013,1788,-2.72
"{'cat': 'II', 'resp': 'reach'}",28888888888,3,Left,22.585095239446396,48.41922963831309,1.1292547619723197,0.7605674806210079,Right,Incorrect,0.0,0.0,-45,45,2002,30495,-0.87
