condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",52,0,Left,34.57986642702782,57.15482461715131,1.7289933213513908,0.897785885672278,Right,Incorrect,0.0,0.0,-45,45,2007,2249,-0.91
"{'cat': 'II', 'resp': 'reach'}",52,1,Right,48.479358437682535,30.332307964771093,2.423967921884127,0.47645877934274017,Right,Correct,0.0,0.0,-45,45,2003,3661,-0.95
"{'cat': 'II', 'resp': 'reach'}",52,2,Right,61.72851788815907,45.76455887290738,3.0864258944079537,0.718868009749517,Right,Correct,0.0,0.0,-45,45,2013,3269,-0.92
"{'cat': 'II', 'resp': 'reach'}",52,3,Right,77.6494811851085,57.10968965470972,3.8824740592554248,0.8970769073401453,Right,Correct,0.0,0.0,-45,45,2004,1730,-0.92
"{'cat': 'II', 'resp': 'reach'}",52,4,Right,42.42404817382923,16.276330132266445,2.1212024086914614,0.2556679958546522,Left,Incorrect,0.0,0.0,-45,45,2002,1597,-2.47
"{'cat': 'II', 'resp': 'reach'}",52,5,Left,57.039265684075175,77.39660672591194,2.8519632842037588,1.2157430555145163,Right,Incorrect,0.0,0.0,-45,45,2009,3508,-0.94
"{'cat': 'II', 'resp': 'reach'}",52,6,Right,44.42482599917571,35.92028176786661,2.2212412999587854,0.5642344665840257,Right,Correct,0.0,0.0,-45,45,2009,1121,-0.95
"{'cat': 'II', 'resp': 'reach'}",52,7,Left,43.805818640823475,72.34447299465917,2.1902909320411736,1.1363843244392322,Right,Incorrect,0.0,0.0,-45,45,2007,1716,-0.96
"{'cat': 'II', 'resp': 'reach'}",52,8,Left,29.99192548296396,43.46421807182401,1.499596274148198,0.6827343409423351,Right,Incorrect,0.0,0.0,-45,45,2013,4473,-0.95
"{'cat': 'II', 'resp': 'reach'}",52,9,Left,56.07689647678414,74.85284065698683,2.8038448238392073,1.1757856715415862,Right,Incorrect,0.0,0.0,-45,45,2012,1156,-0.9
"{'cat': 'II', 'resp': 'reach'}",52,10,Left,25.8408756350919,46.41182513031556,1.292043781754595,0.7290352443454676,Left,Correct,0.0,0.0,-45,45,2006,1382,-2.56
"{'cat': 'II', 'resp': 'reach'}",52,11,Right,42.137320021218166,26.704284725028018,2.1068660010609084,0.4194699235575908,Right,Correct,0.0,0.0,-45,45,2002,3657,-0.95
"{'cat': 'II', 'resp': 'reach'}",52,12,Right,81.8759500195139,62.16056722895736,4.093797500975694,0.9764159067473345,Left,Incorrect,0.0,0.0,-45,45,2012,2030,-2.61
"{'cat': 'II', 'resp': 'reach'}",52,13,Left,44.72047009528484,60.4554996726941,2.236023504764242,0.9496327682041797,Left,Correct,0.0,0.0,-45,45,2001,2556,-2.49
"{'cat': 'II', 'resp': 'reach'}",52,14,Right,57.37232444341315,25.8202450228194,2.8686162221706577,0.4055834603878893,Right,Correct,0.0,0.0,-45,45,2003,3946,-0.88
"{'cat': 'II', 'resp': 'reach'}",52,15,Left,38.07631475897322,54.70126937405584,1.9038157379486609,0.8592455300378509,Left,Correct,0.0,0.0,-45,45,2004,1837,-2.62
"{'cat': 'II', 'resp': 'reach'}",52,16,Left,20.343609683217576,46.355900101676745,1.017180484160879,0.7281567760498501,Left,Correct,0.0,0.0,-45,45,2006,1517,-2.54
"{'cat': 'II', 'resp': 'reach'}",52,17,Right,67.66451237001854,49.105471743299745,3.3832256185009273,0.7713469463990583,Right,Correct,0.0,0.0,-45,45,2004,3548,-0.83
"{'cat': 'II', 'resp': 'reach'}",52,18,Right,64.08600213599067,51.44391338713872,3.2043001067995336,0.8080791018447231,Right,Correct,0.0,0.0,-45,45,2003,1754,-0.86
"{'cat': 'II', 'resp': 'reach'}",52,19,Right,63.30707095430153,42.427597013653966,3.1653535477150765,0.6664511354378178,Right,Correct,0.0,0.0,-45,45,2008,1256,-0.9
"{'cat': 'II', 'resp': 'reach'}",52,20,Left,43.70808103138944,55.100849216658595,2.185404051569472,0.8655221155280677,Right,Incorrect,0.0,0.0,-45,45,2012,2883,-0.89
"{'cat': 'II', 'resp': 'reach'}",52,21,Left,27.6290134605362,38.57572161969199,1.3814506730268101,0.6059460182367467,Left,Correct,0.0,0.0,-45,45,2007,1126,-2.5
